预算档,C,成本族,L_ctx,N*,D*,Q*,L*,状态,C_train占比,C_Q占比,C_attn占比
低(1e19),1e+19,指数型,2048,0.2921525507100721,4.81372783443862,0.6507779291738142,3.1613687603751472,R1_质量渐进态,0.8438057191531886,0.0985904770859545,0.057603803760857684
低(1e19),1e+19,指数型,4096,0.28339298426545795,4.649748291449129,0.6551948622054956,3.173077081764424,R1_质量渐进态,0.7906236266381897,0.10142989420481086,0.10794647915700084
低(1e19),1e+19,指数型,8192,0.26807057370791265,4.364608453791395,0.6632960682677147,3.1946831307254495,R1_质量渐进态,0.702013855330959,0.10628956124000281,0.1916965834290405
低(1e19),1e+19,指数型,32768,0.21061979705356398,3.316529835970051,0.6989531465741049,3.2919457563887313,R1_质量渐进态,0.41911610458446125,0.12309734491476387,0.4577865505007875
低(1e19),1e+19,指数型,131072,0.13428710770381658,1.9867376137365824,0.7673488338707102,3.4897511286957257,R1_质量渐进态,0.1600759487490408,0.1405415594365424,0.6993824918144758
低(1e19),1e+19,幂函数型,2048,0.30668217507248907,5.087220022874893,0.5620899628800609,3.169264923993688,R0_质量冻结态,0.936095821012554,3.760632306051147e-08,0.06390414138112369
低(1e19),1e+19,幂函数型,4096,0.2979261710713109,4.922184642305981,0.5620899628800609,3.181728035186853,R0_质量冻结态,0.8798685742729386,3.638632985986716e-08,0.1201313893407319
低(1e19),1e+19,幂函数型,8192,0.28076321977554086,4.60065488006256,0.5700886194064327,3.204719300111848,R1_质量渐进态,0.7750168063214515,0.013351937765705976,0.21163125591284437
低(1e19),1e+19,幂函数型,32768,0.21694948776894862,3.430242448259697,0.6096832584265047,3.3071487555747012,R1_质量渐进态,0.44651360524394734,0.06577446766021686,0.4877119272211223
低(1e19),1e+19,幂函数型,131072,0.1350663686524311,1.9998689626457673,0.6922712071838785,3.510994478307472,R1_质量渐进态,0.16206902313916088,0.1298406101643261,0.7080903666965367
低(1e19),1e+19,对数渐进型,2048,0.24241946950628407,3.8923532720445984,0.9999999712377503,3.1571705831576184,R2_质量饱和态,0.5661493292040604,0.39520154325562773,0.03864912754033052
低(1e19),1e+19,对数渐进型,4096,0.23723902958014195,3.7977927040875294,0.9999999712377503,3.1663881875541504,R2_质量饱和态,0.5405907933985612,0.38560054360943374,0.0738086629920169
低(1e19),1e+19,对数渐进型,8192,0.22790854174671704,3.6282039391697407,0.9999999712377503,3.183646929584132,R2_质量饱和态,0.49613920136152195,0.3683817207200303,0.13547907791845293
低(1e19),1e+19,对数渐进型,32768,0.18969495164471725,2.9440490056328064,0.9999999712377503,3.2649143799492757,R2_质量饱和态,0.33508274025791585,0.29891755170391177,0.3659997077590462
低(1e19),1e+19,对数渐进型,131072,0.130251597000995,1.9189051163465367,0.9999999712377503,3.443942433999419,R2_质量饱和态,0.14996427353850994,0.19483181775607905,0.6552039087079858
中(1e22),1e+22,指数型,2048,7.486275977248927,193.32339473323313,0.9999999712377503,2.189744839634396,R2_质量饱和态,0.868363371498969,0.07235635591542557,0.059280272827662954
中(1e22),1e+22,指数型,4096,7.280804882512074,187.29388127913842,0.9999999712377503,2.1946361154205265,R2_质量饱和态,0.8181901231690726,0.07009965220875139,0.11171022481668406
中(1e22),1e+22,指数型,8192,6.918365710252776,176.71588911013555,0.9999999712377503,2.203702639614428,R2_质量饱和态,0.7335510886058364,0.06614056092904821,0.20030835059530036
