预算档,C,L_ctx,成本族,N*,D*,Q*,L*,M=N·D,D*/N*,C_train占比,C_Q占比,C_attn占比,C_total/C,Q*-Q0
低(1e19),1e+19,2048,指数型,0.2921525507100721,4.81372783443862,0.6507779291738142,3.1613687603751472,1.4063428652553145,16.47676127673344,0.8438057191531886,0.0985904770859545,0.057603803760857684,1.0000000000000009,0.08868798710666725
低(1e19),1e+19,2048,幂函数型,0.30668217507248907,5.087220022874893,0.5620899628800609,3.169264923993688,1.5601597016875899,16.587922078198545,0.936095821012554,3.760632306051147e-08,0.06390414138112369,1.0000000000000007,2.0812913947843015e-08
低(1e19),1e+19,2048,对数渐进型,0.24241946950628407,3.8923532720445984,0.9999999712377503,3.1571705831576184,0.9435822153401006,16.05627336769541,0.5661493292040604,0.39520154325562773,0.03864912754033052,1.0000000000000187,0.4379100291706034
低(1e19),1e+19,4096,指数型,0.28339298426545795,4.649748291449129,0.6551948622054956,3.173077081764424,1.3177060443969828,16.407422023876386,0.7906236266381897,0.10142989420481086,0.10794647915700084,1.0000000000000013,0.0931049201383487
低(1e19),1e+19,4096,幂函数型,0.2979261710713109,4.922184642305981,0.5620899628800609,3.181728035186853,1.4664476237882311,16.52149129633804,0.8798685742729386,3.638632985986716e-08,0.1201313893407319,1.0000000000000004,2.0812913947843015e-08
低(1e19),1e+19,4096,对数渐进型,0.23723902958014195,3.7977927040875294,0.9999999712377503,3.1663881875541504,0.9009846556642688,16.008296403878997,0.5405907933985612,0.38560054360943374,0.0738086629920169,1.0000000000000118,0.4379100291706034
低(1e19),1e+19,8192,指数型,0.26807057370791265,4.364608453791395,0.6632960682677147,3.1946831307254495,1.1700230922182648,16.28156493799664,0.702013855330959,0.10628956124000281,0.1916965834290405,1.0000000000000022,0.10120612620056779
低(1e19),1e+19,8192,幂函数型,0.28076321977554086,4.60065488006256,0.5700886194064327,3.204719300111848,1.2916946772024192,16.38624490679585,0.7750168063214515,0.013351937765705976,0.21163125591284437,1.0000000000000018,0.007998677339285831
低(1e19),1e+19,8192,对数渐进型,0.22790854174671704,3.6282039391697407,0.9999999712377503,3.183646929584132,0.8268986689358699,15.919561028133357,0.49613920136152195,0.3683817207200303,0.13547907791845293,1.000000000000005,0.4379100291706034
低(1e19),1e+19,32768,指数型,0.21061979705356398,3.316529835970051,0.6989531465741049,3.2919457563887313,0.698526840974102,15.746524696947668,0.41911610458446125,0.12309734491476387,0.4577865505007875,1.0000000000000124,0.136863204506958
低(1e19),1e+19,32768,幂函数型,0.21694948776894862,3.430242448259697,0.6096832584265047,3.3071487555747012,0.7441893420732456,15.811249353641747,0.44651360524394734,0.06577446766021686,0.4877119272211223,1.0000000001252864,0.04759331635935782
低(1e19),1e+19,32768,对数渐进型,0.18969495164471725,2.9440490056328064,0.9999999712377503,3.2649143799492757,0.5584712337631931,15.519912259693465,0.33508274025791585,0.29891755170391177,0.3659997077590462,0.9999999997208739,0.4379100291706034
低(1e19),1e+19,131072,指数型,0.13428710770381658,1.9867376137365824,0.7673488338707102,3.4897511286957257,0.266793247915068,14.794701052900235,0.1600759487490408,0.1405415594365424,0.6993824918144758,1.000000000000059,0.20525889180356327
低(1e19),1e+19,131072,幂函数型,0.1350663686524311,1.9998689626457673,0.6922712071838785,3.510994478307472,0.2701150385652682,14.806564969493396,0.16206902313916088,0.1298406101643261,0.7080903666965367,1.0000000000000238,0.13018126511673156
低(1e19),1e+19,131072,对数渐进型,0.130251597000995,1.9189051163465367,0.9999999712377503,3.443942433999419,0.24994045589751654,14.73229626759876,0.14996427353850994,0.19483181775607905,0.6552039087079858,1.0000000000025748,0.4379100291706034
中(1e22),1e+22,2048,指数型,7.486275977248927,193.32339473323313,0.9999999712377503,2.189744839634396,1447.2722858316151,25.823706649440947,0.868363371498969,0.07235635591542557,0.059280272827662954,1.0000000002420575,0.4379100291706034
中(1e22),1e+22,2048,幂函数型,7.433393806324301,191.76935948114755,0.9999999712377503,2.1909874166192425,1425.49716900994,25.79835866061488,0.8552983014059644,0.08631333455138894,0.058388364042647176,1.0000000000000007,0.4379100291706034
中(1e22),1e+22,2048,对数渐进型,7.680203301289941,199.03523987433684,0.9999999712377503,2.185280942023954,1528.6311063559174,25.915360839589695,0.9171786638135502,0.020208606070145706,0.06261273011633836,1.0000000000000342,0.4379100291706034
中(1e22),1e+22,4096,指数型,7.280804882512074,187.29388127913842,0.9999999712377503,2.1946361154205265,1363.6502052817873,25.724337391461173,0.8181901231690726,0.07009965220875139,0.11171022481668406,1.000000000194508,0.4379100291706034
中(1e22),1e+22,4096,幂函数型,7.231025615645973,185.83663633116473,0.9999999712377503,2.195847312793096,1343.7894776361366,25.699900153729892,0.8062736865816824,0.08364307941036588,0.11008323400795236,1.0000000000000007,0.4379100291706034
中(1e22),1e+22,4096,对数渐进型,7.463237244742894,192.64617362452228,0.9999999712377503,2.1902848201026006,1437.7640980517403,25.81268252730707,0.8626584588310445,0.019559906256584634,0.11778163491239861,1.0000000000000278,0.4379100291706034
中(1e22),1e+22,8192,指数型,6.918365710252776,176.71588911013555,0.9999999712377503,2.203702639614428,1222.5851476763935,25.543010663378027,0.7335510886058364,0.06614056092904821,0.20030835059530036,1.000000000130185,0.4379100291706034
中(1e22),1e+22,8192,幂函数型,6.873810367532794,175.42072819658028,0.9999999712377503,2.20485841316144,1205.8088201578057,25.520158226236283,0.7234852920946835,0.07895499072972707,0.19755971709465492,0.9999999999190654,0.4379100291706034
中(1e22),1e+22,8192,对数渐进型,7.081472155990433,181.46697736137395,0.9999999712377503,2.1995502337142785,1285.0533474163162,25.62560063275339,0.7710320084497895,0.018424851109539096,0.2105431404406892,1.0000000000000175,0.4379100291706034
中(1e22),1e+22,32768,指数型,5.52500431044662,136.79617970425716,0.9999999712377503,2.245092439122578,755.7994825186519,24.759470222603152,0.45347968951119083,0.05119956164751862,0.49532074886342325,1.0000000000221327,0.4379100291706034
中(1e22),1e+22,32768,幂函数型,5.4976327925669075,136.02485551077123,0.9999999712377503,2.24603392687852,747.8147062601915,24.74244109113364,0.44868882375611485,0.06122333042552478,0.490087845894679,1.0000000000763187,0.4379100291706034
中(1e22),1e+22,32768,对数渐进型,5.624793206997836,139.61267971081008,0.9999999712377503,2.241709124346731,785.2924524481293,24.820944445942864,0.47117547146887756,0.014175266894719216,0.5146492616364059,1.0000000000000024,0.4379100291706034
中(1e22),1e+22,131072,指数型,3.5904949303235942,83.74620041290378,0.9999999712377503,2.331472065436723,300.69030801639457,23.324416838922016,0.18041418480983681,0.03134421414439894,0.7882416010464978,1.0000000000007336,0.4379100291706034
中(1e22),1e+22,131072,幂函数型,3.5796954398894663,83.45947282411902,0.9999999712377503,2.3321103449270026,298.75949428407756,23.314685348398264,0.17925569657044663,0.037564214736082055,0.7831800886960526,1.0000000000025813,0.4379100291706034
中(1e22),1e+22,131072,对数渐进型,3.6296587006071865,84.7870027590731,0.9999999712377503,2.3291774950280644,307.7478822628752,23.359497339209753,0.18464872935772514,0.008608662163083569,0.8067426084791915,1.0000000000000002,0.4379100291706034
