model,n_params,train_R2,test1M_R2,coef,test_60M_spearman,test_1B_spearman
a+H,2,0.6672293492780793,0.6561707450666283,"[6.0525, -0.5565]",0.8276486324101624,0.5554029304029303
a+H+cov,3,0.6672293492780794,0.6561707450666376,"[3.0263, -0.5565, 3.0263]",0.8276486324101624,0.5554029304029303
a+Q·cov,2,0.004967659873967856,-0.06641291446665565,"[5.7304, -0.5619]",-0.02471603913939116,-0.024221611721611722
a+Q·cov+cov,3,0.004967659873968078,-0.06641291446663256,"[2.8652, -0.5619, 2.8652]",-0.02471603913939116,-0.024221611721611722
a+Q·cov+H+cov (full),4,0.6678313100526576,0.6538220024886621,"[3.0929, -0.1959, -0.5555, 3.0929]",0.8262009327077133,0.5543498168498169
