dropped,spearman_Qlin,spearman_Qresolved
fineweb_edu,0.9975581381123532,0.9954301348850619
qurater,0.9984038570037795,0.9912147033712642
modernbert_reasoning,0.9922722047973072,0.9909734365250191
modernbert_professionalism,0.9856459720585956,0.9791880557551548
fluency_en,0.9939160833914996,0.9948348338515326
modernbert_readability,0.9964482251308964,0.9962555394024316
modernbert_cleanliness,0.9957392033015114,0.9948845929757134
ad_en,0.9973631441979036,0.9966260772982989
dsir_books,0.9992567754645528,0.9999694553460993
dsir_wiki,0.9992580573749213,0.999973237892021
dsir_math,0.9994949976828926,0.9998646437518153
rps_doc_word_count,0.9997196332667946,0.9988909706694555
rps_doc_num_sentences,0.9998355899305873,0.9991815541339292
rps_doc_unigram_entropy,0.9985921258973303,0.9978327669261322
rps_doc_frac_unique_words,0.9981351385512508,0.9988381810415613
rps_doc_frac_no_alph_words,0.998958948177228,0.9990846480222406
rps_doc_frac_chars_top_2gram,0.9989990142889248,0.9987225617583451
rps_doc_frac_chars_top_3gram,0.998744001281202,0.9987019607798403
rps_lines_uppercase_letter_fraction,0.9939869705749854,0.9980833180625573
rps_lines_ending_with_terminal_punctution_mark,0.9865932887762086,0.9931709847286917
rps_lines_numerical_chars_fraction,0.9977041113799344,0.9979654088380598
rps_doc_mean_word_length,0.9996359587731917,0.9990787123807343
