g_form,decade,share_train,share_quality,share_attn,Q,tokens_per_param
exp,15,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,14.496838439009423
exp,16,0.9360958562156766,0.0,0.06390414378432352,0.6804916175120665,18.111085209104864
exp,17,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,22.626404818154732
exp,18,0.7465142822910567,0.20252367603787383,0.05096204167106947,0.7748233078377058,16.693501736662558
exp,19,0.5009544974905709,0.4648470088140729,0.0341984936953563,0.9984187005977259,6.6478052971863875
exp,20,0.6551576249324276,0.30011694787218535,0.04472542719538706,1.0,19.986141670059727
exp,21,0.7866674499365297,0.1596293854811365,0.05370316458233376,1.0,45.12402261772231
exp,22,0.8697189252914912,0.07090826274194298,0.05937281196656581,1.0,77.98565445982649
exp,23,0.9100408966587438,0.02783364479601937,0.0621254585452369,1.0,112.85391091833385
exp,24,0.9264931130743669,0.010258290406422876,0.06324859651921012,1.0,149.4494129264183
exp,25,0.9326486028309336,0.003682585882474612,0.06366881128659174,1.0,190.7794116335208
exp,26,0.9348705750372502,0.0013089270402068189,0.06382049792254295,1.0,240.19898244121973
exp,27,0.9354331994748509,0.000707894107665884,0.06385890641748315,1.0,271.4463468680501
filter,15,0.9360958562156766,0.0,0.06390414378432352,0.6804916175120665,14.496838136502717
filter,16,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,18.111084526339262
filter,17,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,22.626406610689564
filter,18,0.6926678154073347,0.26004606172752454,0.04728612286514071,0.7988905438122722,11.963164526700279
filter,19,0.6589175167650574,0.29610038075711465,0.044982102477827926,0.887592054590046,13.738959187884674
filter,20,0.7101422847732786,0.24137866858619886,0.04847904664052249,0.9291865019909415,23.21363620023167
filter,21,0.7677660171855032,0.1798211560412998,0.052412826773197016,0.9551978263844518,38.82102796078449
filter,22,0.8185912714270295,0.1255262311102186,0.05588249746275188,0.9719654766574767,61.26062677573668
filter,23,0.8581032980045382,0.08331685018501858,0.05857985181044315,0.9826953477409293,90.69436797110747
filter,24,0.8862350168597711,0.05326467265593515,0.060500310484293704,0.9894450690425092,127.17442072082181
filter,25,0.9050471924465869,0.033168252549059515,0.06178455500435366,0.9936195331733572,171.24625438527113
filter,26,0.9170970082059748,0.0202958360338306,0.06260715576019456,0.996166756876152,224.2604208932531
filter,27,0.9218130125022532,0.015257885844259442,0.06292910165348717,0.9971397679205489,257.47192646580623
log,15,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,14.496838159489338
log,16,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,18.111084352969034
log,17,0.48777967066696953,0.478921237148832,0.03329909218419845,0.9680491617512066,4.527730724146513
log,18,0.5858046122364912,0.3742044595681643,0.039990928195344465,1.0,8.905741960195773
log,19,0.7327355805886621,0.21724300377648528,0.05002141563485266,1.0,22.98144684458071
log,20,0.8386146426822878,0.10413593104393463,0.057249426273777514,1.0,44.411382351423484
log,21,0.895979923204416,0.04285451403816259,0.061165562757421466,1.0,68.74128614147816
log,22,0.9209788240273695,0.016149021585695263,0.06287215438693511,1.0,93.91061105239324
log,23,0.9306207584243402,0.005848864467224766,0.06353037710843497,1.0,121.36959361264667
log,24,0.9341434125913501,0.0020857304424135767,0.06377085696623618,1.0,153.50671850025796
log,25,0.9354035641763534,0.0007395525092074369,0.06385688331443906,1.0,192.62240512332562
log,26,0.9358508862403049,0.0002616932590234615,0.06388742050067149,1.0,241.020910457309
log,27,0.9359635350930098,0.00014135424464090503,0.06389511066234946,1.0,271.9591354539677
power,15,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,14.49683909985085
power,16,0.9360958562156764,0.0,0.06390414378432352,0.6804916175120665,18.111085555828645
power,17,0.9360958562156766,0.0,0.06390414378432352,0.6804916175120665,22.62640378129079
power,18,0.8267935521681966,0.11676400800378764,0.05644243982801557,0.7443932940096533,22.58271302716935
power,19,0.4794598340068445,0.48780904132495484,0.03273112466820059,1.0,5.79244050860375
power,20,0.6359068188424357,0.3206819423245873,0.04341123883297695,1.0,18.144044702230943
power,21,0.7724172177271782,0.17485243354264643,0.05273034873017537,1.0,42.535677951181
power,22,0.8618880591821355,0.07927371597769738,0.05883822484016712,1.0,75.73516746423765
power,23,0.9066152384554027,0.03149316126604173,0.0618916002785555,1.0,111.4796832486066
power,24,0.9251713605772582,0.011670274540667427,0.06315836488207417,1.0,148.75636799769933
power,25,0.9321657563199889,0.004198394715233227,0.0636358489647779,1.0,190.4581325958198
power,26,0.9346978627171187,0.0014934298547258263,0.06380870742815532,1.0,240.05436130795601
power,27,0.9353396269064788,0.0008078545633723837,0.06385251853014895,1.0,271.35731639382493
