g_form,L_ctx,wall,C,var,local_exponent
exp,2048,D≤1.8e13,1000000000000000.0,N,0.45166451093675475
exp,2048,D≤1.8e13,1258925411794166.2,N,0.4516644707104973
exp,2048,D≤1.8e13,1584893192461110.8,N,0.4516645090040683
exp,2048,D≤1.8e13,1995262314968882.8,N,0.45166431645580474
exp,2048,D≤1.8e13,2511886431509582.0,N,0.45166441654162526
exp,2048,D≤1.8e13,3162277660168379.5,N,0.45166451399475704
exp,2048,D≤1.8e13,3981071705534969.0,N,0.4516644799368308
exp,2048,D≤1.8e13,5011872336272715.0,N,0.45166457927971493
exp,2048,D≤1.8e13,6309573444801943.0,N,0.4516643045376938
exp,2048,D≤1.8e13,7943282347242821.0,N,0.4516644945811308
exp,2048,D≤1.8e13,1e+16,N,0.45166448209705834
exp,2048,D≤1.8e13,1.2589254117941714e+16,N,0.45166410423733083
exp,2048,D≤1.8e13,1.5848931924611108e+16,N,0.45166420062571433
exp,2048,D≤1.8e13,1.9952623149688828e+16,N,0.4516645854497767
exp,2048,D≤1.8e13,2.511886431509572e+16,N,0.4516648717956997
exp,2048,D≤1.8e13,3.162277660168379e+16,N,0.4516646497179977
exp,2048,D≤1.8e13,3.981071705534986e+16,N,0.4516642607911123
exp,2048,D≤1.8e13,5.0118723362727144e+16,N,0.4516637729363353
exp,2048,D≤1.8e13,6.309573444801943e+16,N,0.4516637041809233
exp,2048,D≤1.8e13,7.943282347242789e+16,N,0.45166429057595536
exp,2048,D≤1.8e13,1e+17,N,0.45166507889765484
exp,2048,D≤1.8e13,1.2589254117941714e+17,N,0.4516649296778894
exp,2048,D≤1.8e13,1.584893192461111e+17,N,0.45166502541517417
exp,2048,D≤1.8e13,1.995262314968883e+17,N,0.45166445465375205
exp,2048,D≤1.8e13,2.511886431509572e+17,N,0.451664159883741
exp,2048,D≤1.8e13,3.1622776601683795e+17,N,0.451664498845993
exp,2048,D≤1.8e13,3.9810717055349856e+17,N,0.4516642060883598
exp,2048,D≤1.8e13,5.011872336272715e+17,N,0.45166453358227443
exp,2048,D≤1.8e13,6.309573444801943e+17,N,0.45166453545053287
exp,2048,D≤1.8e13,7.943282347242789e+17,N,0.45166468024397943
exp,2048,D≤1.8e13,1e+18,N,0.4516642284165542
exp,2048,D≤1.8e13,1.2589254117941714e+18,N,0.4516640781331773
exp,2048,D≤1.8e13,1.5848931924611108e+18,N,0.45166442150408415
exp,2048,D≤1.8e13,1.995262314968883e+18,N,0.45166471730501456
exp,2048,D≤1.8e13,2.511886431509572e+18,N,1.114434376989216
exp,2048,D≤1.8e13,3.1622776601683794e+18,N,1.4648038855284042
exp,2048,D≤1.8e13,3.9810717055349857e+18,N,0.9814666115697079
