indicator,pc1_loading,explained
fineweb_edu,0.19769204473011748,0.2959049248641152
qurater,0.25256384788297626,0.2959049248641152
modernbert_reasoning,0.2547078264033086,0.2959049248641152
modernbert_professionalism,0.019145699833038116,0.2959049248641152
fluency_en,0.1906562916878074,0.2959049248641152
modernbert_readability,0.29121053861833074,0.2959049248641152
modernbert_cleanliness,0.3059208014655102,0.2959049248641152
ad_en,-0.007652582386241429,0.2959049248641152
dsir_books,0.3385726575797449,0.2959049248641152
dsir_wiki,0.3396072979991698,0.2959049248641152
dsir_math,0.3567782094330238,0.2959049248641152
rps_doc_word_count,0.11665470608693158,0.2959049248641152
rps_doc_num_sentences,0.13229997977402586,0.2959049248641152
rps_doc_unigram_entropy,0.31406788004361,0.2959049248641152
rps_doc_frac_unique_words,-0.04639130986161112,0.2959049248641152
rps_doc_frac_no_alph_words,0.1277299057622881,0.2959049248641152
rps_doc_frac_chars_top_2gram,0.17704278496961734,0.2959049248641152
rps_doc_frac_chars_top_3gram,0.14778623557944345,0.2959049248641152
rps_lines_uppercase_letter_fraction,-0.03555922001030587,0.2959049248641152
rps_lines_ending_with_terminal_punctution_mark,0.13016892761229545,0.2959049248641152
rps_lines_numerical_chars_fraction,-0.04433346320717499,0.2959049248641152
rps_doc_mean_word_length,0.19559107744840337,0.2959049248641152
