N_B,tokens_per_param,L_at_Qref,L_band_struct_low,L_band_struct_high,gain_Qref_to_0p8,gain_CI_low,gain_CI_high,mixture_gain_pstar,mixture_gain_CI_low,mixture_gain_CI_high,N_equiv_mult_dQ0p1,N_equiv_CI_low,N_equiv_CI_high
0.1,20.0,3.485934177877097,3.234025042402246,3.7378433133519477,0.14202619584560439,0.08709986691782814,0.20530849632426187,-0.05126591723860785,-0.053806371958083264,-0.04893083988755224,1.621992979443851,1.549821209906202,1.7071659863176534
0.1,9.6,3.719155502379224,3.4672463669043734,3.971064637854075,0.1518700998511111,0.09502384895302105,0.21482644695653783,-0.05513737210078151,-0.05697486309098808,-0.053207964685461163,1.714128191166651,1.618988352084027,1.8256412874627763
1.0,20.0,2.5800498904177207,2.32814075494287,2.8319590258925715,0.0691375447808269,0.04269716268669562,0.09737298012911552,-0.034416731033558357,-0.038687825553683865,-0.030550946748655217,1.6823829434319153,1.5994366506094717,1.7872654541069324
1.0,9.6,2.7024289332446254,2.4505197977697746,2.9543380687194762,0.07807320821382913,0.05126071410791268,0.11134192398778056,-0.03671006684150124,-0.04100316426441233,-0.033350478950486484,1.800400705274976,1.7045178745070606,1.9328169718789672
10.0,20.0,2.133142493426492,1.8812333579516411,2.385051628901343,0.0339601602260029,0.021241129702521087,0.04810589552674406,-0.02327341600160393,-0.027581177286705706,-0.019065365958963368,1.7575852527704972,1.665136505179325,1.8776795300428115
10.0,9.6,2.1973588773922423,1.9454497419173915,2.449268012867093,0.03724986029263744,0.024432916825652806,0.05367059975859822,-0.024452078989334547,-0.029451354259566,-0.02082872968388135,1.8952390225146594,1.7533032215868458,2.0547181942654187
100.0,20.0,1.911634891281919,1.6597257558070684,2.1635440267567696,0.016644635938096064,0.010651703494843724,0.025056088638293644,-0.01560555198030733,-0.02022038989786141,-0.012012006705649775,1.8507720731820694,1.732280021917326,2.0160808989180024
100.0,9.6,1.9453313794581613,1.6934222439833104,2.197240514933012,0.018703408216439454,0.012334654553146718,0.02619077250924211,-0.0169391959193691,-0.021349835154103304,-0.013156066187373893,2.024142928090498,1.863953619497621,2.23039377529583
300.0,20.0,1.849497108084768,1.5975879726099174,2.1014062435596186,0.011554679134350154,0.007830588266058546,0.016901284943049082,-0.012971262516624282,-0.01705362425705866,-0.009496311505327915,1.8851544077907862,1.7661849873976245,2.0698143957961412
300.0,9.6,1.874269131832322,1.622359996357471,2.1261782673071727,0.013470600334393512,0.008263664946352394,0.019585965686910477,-0.014037115206567474,-0.01849710704883204,-0.010528700607037256,2.0872459504087253,1.900931689825211,2.3401327343607936
1000.0,20.0,1.801344383492632,1.5494352480177813,2.0532535189674825,0.008220244590487313,0.004900994504777179,0.011913303813105344,-0.010530852904889865,-0.014472045815413958,-0.007511304490568455,1.9536809822260626,1.8075796279909848,2.1519626540244974
1000.0,9.6,1.8190260598077796,1.5671169243329288,2.0709351952826305,0.009394966003702487,0.00614723443719688,0.01305852948442536,-0.011556571274690786,-0.015542387328307861,-0.008364815791478315,2.1770571657901945,1.9661307342178407,2.4537750434534
3000.0,20.0,1.7702979138898103,1.5183887784149595,2.022207049364661,0.005927361951656218,0.0037022278177355817,0.009101657364661009,-0.008697449281702685,-0.012430183543703116,-0.006060310453539486,2.025152168782974,1.8538075458288792,2.2242007615647466
3000.0,9.6,1.783296624713457,1.5313874892386061,2.035205760188308,0.0068217293452753625,0.004023694341104673,0.009207868635059804,-0.009646447372714584,-0.013445987667686881,-0.006768317790730217,2.266277366415288,2.0296148503715803,2.540091788622014
10000.0,20.0,1.7461872328747041,1.4942780973998535,1.9980963683495547,0.004165001977201599,0.0026059624859565813,0.005671154431582302,-0.007198943880574071,-0.010517458588728618,-0.004687594835293668,2.0971374368121065,1.9101213032757516,2.3353667039821193
10000.0,9.6,1.75546540084516,1.5035562653703094,2.0073745363200106,0.004747712424211903,0.003031729736461669,0.006662135410191912,-0.007700732709107316,-0.011301725658538226,-0.005237610351408435,2.3660358966287056,2.11177889196951,2.7493988949068005
