budget,N_B,D_B,Q,loss,C_train,C_quality,C_attn,C_total,share_train,share_quality,share_attn
1e+18,0.07826442340651951,1.9934469487583195,0.5500000000000002,3.5540755769307903,9.360958562163332e+17,356.45609177797786,6.390414378436835e+16,1.000000000000702e+18,0.936095856215676,3.564560917777276e-16,0.06390414378432349
1.7782794100389228e+18,0.10149519250333774,2.7335284655275536,0.55,3.396395250935327,1.664639986932435e+18,0.0,1.136394231079209e+17,1.7782794100403558e+18,0.9360958562156765,0.0,0.06390414378432352
3.1622776601683794e+18,0.1316214330927206,3.7483700340831905,0.55,3.252051518260135,2.9601950138870364e+18,0.0,2.0208264628135504e+17,3.1622776601683917e+18,0.9360958562156764,0.0,0.06390414378432352
5.623413251903491e+18,0.17068985275054338,5.139979284131255,0.55,3.1199163705736126,5.264053842895244e+18,0.0,3.593594090083153e+17,5.62341325190356e+18,0.9360958562156765,0.0,0.0639041437843235
1e+19,0.22135471499158274,7.048233693232089,0.5500000000000002,2.998957206427559,9.36095856215676e+18,1260.3223967371146,6.390414378432348e+17,9.999999999999996e+18,0.9360958562156763,1.2603223967371151e-16,0.0639041437843235
1.7782794100389229e+19,0.2870581643458563,9.664940150861392,0.55,2.888228761747366,1.664639986931301e+19,0.0,1.1363942310784348e+18,1.7782794100391444e+19,0.9360958562156765,0.0,0.06390414378432352
3.162277660168379e+19,0.3722640001376657,13.253117020861227,0.55,2.786865722842089,2.9601950138870297e+19,0.0,2.020826462813546e+18,3.162277660168384e+19,0.9360958562156765,0.0,0.06390414378432353
5.6234132519034905e+19,0.48888599844647157,17.808060815363547,0.5642646987449096,2.6940206914949987,5.2236669552686965e+19,4.31439658218313e+17,3.566023308130097e+18,5.623413251903538e+19,0.9289139391454956,0.007672202608838497,0.06341385824566584
1e+20,0.652763123550091,23.32355211433258,0.6039178584975811,2.608473863188803,9.134852838261037e+19,2.4154120798477025e+18,6.236059537586202e+18,1.0000000000004429e+20,0.9134852838256992,0.02415412079846633,0.062360595375834396
1.778279410038923e+20,0.8651617879436659,30.946590071014278,0.6424240040525999,2.5297545871080263,1.606428431795905e+20,6.218546396575054e+18,1.096655142772671e+19,1.7782794100389223e+20,0.9033610931595637,0.03496945621407687,0.06166945062635955
3.1622776601683794e+20,1.1409209306865962,41.423537798170564,0.6802355359465392,2.45750140667203,2.8356588778212095e+20,1.3303780295457978e+19,1.9358097939259458e+19,3.162277660168384e+20,0.8967140721192133,0.04207024722411498,0.061215680656671635
5.6234132519034906e+20,1.4992527898285883,55.78906983432508,0.7176348457268127,2.391296027608459,5.018515115463229e+20,2.6230083798474695e+19,3.4259729854895645e+19,5.623413251996932e+20,0.8924322098649077,0.046644417941648024,0.06092337219344437
1e+21,1.9650963757141058,75.4667674081162,0.7548066896110376,2.3307029137983433,8.897968267232912e+20,4.945970990573582e+19,6.074346337097669e+19,1.0000000000000037e+21,0.889796826723288,0.04945970990573564,0.06074346337097647
1.7782794100389228e+21,2.5708576778769987,102.4098764302381,0.7918755107997507,2.2752908904655462,1.579687302666674e+21,9.07521208436958e+19,1.078399865287116e+20,1.7782794100390814e+21,0.8883234511678663,0.05103366789907404,0.06064288093305967
3.1622776601683794e+21,3.3586647690924796,139.2952635088351,0.8289265308351158,2.224644980431594,2.8070765642914663e+21,1.635713357562142e+20,1.9162976012229742e+20,3.162277660169978e+21,0.8876755509636624,0.05172579809055159,0.060598650945786016
5.623413251903491e+21,4.383295750936795,189.7895403967258,0.8660184713075438,2.1783726486195025,4.991422115959293e+21,2.91243386161407e+20,3.407477497828211e+20,5.623413251903521e+21,0.8876143175623276,0.05179121169208422,0.06059447074558823
1e+22,5.7159818325958245,258.9137402089609,0.9031916009852211,2.1361067423780318,8.879677411463132e+21,5.1413661058152045e+20,6.061859779558833e+20,1.0000000000000537e+22,0.8879677411462655,0.05141366105814928,0.06061859779558507
1.7782794100389228e+22,7.449350989652556,353.542682128193,0.9404730288497724,2.0975064504812715,1.580198117397644e+22,9.020643449524215e+20,1.0787485814767917e+21,1.7782794100405655e+22,0.8886107033998651,0.05072680591470403,0.060662490685430795
3.1622776601683792e+22,9.703855312836113,483.08855640573273,0.9778806334987103,2.0622570754694616,2.812692872788859e+22,1.575716206156179e+21,1.920131667823861e+21,3.1622776601868627e+22,0.8894515836483041,0.04982852157463833,0.06071989477705756
5.623413251903491e+22,12.54589041893644,668.0439028241791,1.0,2.0300811951988527,5.028723359922464e+22,2.513957125961175e+21,3.4329418137070695e+21,5.623413253889289e+22,0.894247520657401,0.04470518193238708,0.06104729741021191
1.0000000000000001e+23,16.084098763311676,935.8406289972392,0.9999999999999999,2.000796987258649,9.03129186210679e+22,3.521719467965547e+21,6.165361911198235e+21,1.0000000000023167e+23,0.9031291862085866,0.035217194679573884,0.061653619111839524
