index,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds,loss_arxiv,loss_freelaw,loss_pubmed_central,loss_wikipedia_en,loss_dm_mathematics,loss_github,loss_stackexchange,loss_gutenberg_pg_19,loss_pile_cc,loss_ubuntu_irc,loss_hackernews,loss_pubmed_abstracts,loss_uspto_backgrounds,raw_sum,L_avg
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.209,0.787,0.0,0.0,0.0,0.0,0.0,1.5541,1.1858,1.4458,1.2475,1.2876,1.4672,1.3511,1.0456,1.1435,1.5981,1.1518,1.3035,1.1984,1.0,1.3061538461538462
2,0.025050100200400802,0.002004008016032064,0.050100200400801605,0.0,0.047094188376753505,0.0,0.3046092184368737,0.009018036072144287,0.003006012024048096,0.001002004008016032,0.1032064128256513,0.29959919839679355,0.02404809619238477,0.04008016032064128,0.09018036072144288,0.001002004008016032,0.0,1.2489,1.4407,1.5309,1.43,1.2163,1.0916,1.2975,1.3058,1.4084,1.3911,1.2654,1.4901,1.4719,0.998,1.3529692307692307
3,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0,0.9504,1.4762,1.2029,1.5116,1.0388,1.6665,1.5489,1.4169,1.403,1.9047,1.4,1.4334,1.4031,1.0,1.4120307692307692
4,0.007992007992007994,0.02497502497502498,0.0,0.006993006993006994,0.014985014985014986,0.0,0.31468531468531474,0.0,0.2157842157842158,0.0,0.10889110889110891,0.005994005994005995,0.0,0.008991008991008992,0.0,0.05394605394605395,0.23676323676323677,1.3325,1.3742,1.4644,1.5972,1.4446,1.1316,1.2146,1.3892,1.5892,2.0425,1.5135,1.4365,1.2202,1.001,1.4423230769230768
5,0.19280719280719283,0.0029970029970029974,0.0,0.059940059940059943,0.009990009990009992,0.06093906093906094,0.03096903096903097,0.0,0.41658341658341663,0.0,0.1278721278721279,0.02197802197802198,0.0,0.007992007992007994,0.0009990009990009992,0.0,0.06693306693306694,1.2608,1.7494,1.4666,1.8171,0.6276,1.4017,1.3279,1.5637,1.8002,2.2191,1.6654,1.7701,1.5042,1.001,1.5518307692307696
6,0.5065065065065065,0.005005005005005005,0.0,0.011011011011011011,0.13813813813813816,0.0,0.2102102102102102,0.0,0.0,0.002002002002002002,0.0,0.0,0.026026026026026026,0.0990990990990991,0.0,0.001001001001001001,0.001001001001001001,0.9208,1.3206,1.2496,1.2925,1.3022,1.0327,1.2317,1.4352,1.4174,1.2713,1.3919,1.4461,1.3571,0.999,1.2822384615384617
7,0.0,0.0,0.009,0.319,0.016,0.004,0.0,0.001,0.028,0.019,0.004,0.185,0.008,0.0,0.004,0.001,0.402,1.69,1.8062,1.2997,1.7529,0.9252,1.8061,1.6152,1.6986,1.7068,1.8487,1.6251,1.5967,1.3403,1.0,1.5931923076923076
8,0.0,0.5675675675675675,0.014014014014014014,0.0,0.0,0.0,0.0,0.022022022022022022,0.0,0.0,0.003003003003003003,0.3933933933933934,0.0,0.0,0.0,0.0,0.0,1.6147,0.8958,1.478,1.302,1.3006,1.4953,1.408,1.1654,1.1976,1.65,1.2016,1.3079,1.2399,0.999,1.3274461538461537
9,0.0,0.0,0.0,0.828,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,1.1299,1.3036,0.7569,1.2194,1.122,1.5295,1.3731,1.3146,1.2526,1.6569,1.2757,0.9056,1.0869,1.0,1.2251307692307694
10,0.006,0.0,0.0,0.307,0.59,0.0,0.005,0.0,0.036,0.0,0.014,0.042,0.0,0.0,0.0,0.0,0.0,1.3279,1.548,1.1303,1.2996,1.4693,1.43,1.3637,1.4155,1.4901,2.0588,1.5048,1.4152,1.4712,1.0,1.455723076923077
11,0.0,0.924,0.0,0.0,0.003,0.0,0.004,0.0,0.001,0.0,0.019,0.0,0.0,0.0,0.0,0.049,0.0,1.6332,0.8267,1.3224,1.2986,1.3014,1.2875,1.3555,1.116,1.2974,1.7446,1.2705,1.1468,1.2271,1.0,1.2944384615384616
12,0.0,0.5911823647294588,0.04609218436873747,0.1342685370741483,0.002004008016032064,0.0,0.0,0.013026052104208414,0.002004008016032064,0.0,0.1713426853707415,0.0,0.0,0.0,0.0,0.04008016032064128,0.0,1.3209,0.877,0.96,1.301,1.2583,1.4634,1.3885,1.0597,1.2979,1.7057,1.2776,1.1155,1.2105,0.9980000000000001,1.248923076923077
13,0.0,0.006,0.0,0.818,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.161,0.0,0.001,0.012,0.0,0.0,1.4144,1.3425,0.9785,1.4966,1.3879,1.7372,1.6057,1.3988,1.3957,1.7691,1.299,1.2536,1.3559,1.0,1.4180692307692306
14,0.0,0.00899100899100899,0.03396603396603397,0.1858141858141858,0.045954045954045945,0.01898101898101898,0.07192807192807192,0.007992007992007992,0.02597402597402597,0.0,0.0779220779220779,0.012987012987012984,0.03496503496503497,0.001998001998001998,0.10789210789210787,0.34365634365634357,0.020979020979020976,1.7874,1.7158,1.359,1.8106,0.7663,1.533,1.6354,1.6596,1.8404,1.7666,1.5887,1.5029,1.6262,1.0010000000000001,1.583992307692308
15,0.003006012024048096,0.0,0.001002004008016032,0.01603206412825651,0.13026052104208416,0.008016032064128256,0.10020040080160321,0.001002004008016032,0.37975951903807614,0.0,0.033066132264529056,0.004008016032064128,0.0,0.003006012024048096,0.027054108216432865,0.21442885771543085,0.07915831663326653,1.4122,1.7452,1.3716,1.5437,0.7629,1.2457,1.2479,1.5222,1.6654,2.0884,1.4592,1.3973,1.3719,0.998,1.4487384615384615
16,0.094,0.07,0.022,0.131,0.002,0.222,0.1,0.006,0.133,0.0,0.04,0.0,0.087,0.02,0.0,0.003,0.07,1.4194,1.5753,1.4806,2.0437,0.6171,1.4748,1.5292,1.7574,1.9606,1.6659,1.8547,1.7891,1.5998,1.0,1.5975076923076925
