domain,L_avg,loss_arxiv,loss_dm_mathematics,loss_freelaw,loss_github,loss_gutenberg_pg_19,loss_hackernews,loss_pile_cc,loss_pubmed_abstracts,loss_pubmed_central,loss_stackexchange,loss_ubuntu_irc,loss_uspto_backgrounds,loss_wikipedia_en
arxiv,0.04026801687459791,-0.186003475267432,0.057041560012890846,0.06677354392723522,0.07492431155168777,0.05531688783810651,0.04514498230516395,0.04838944483247509,0.05791472120455321,0.02278184656487081,0.0631626365295217,0.07446126890414373,0.041180763206145166,0.0499014045341708
freelaw,0.03751474239094055,0.10244727456336733,0.07516802144763557,-0.2357592131073849,0.08191599225368762,-0.008165764611913318,0.020211761022043362,0.014938945643677926,0.06734812012939706,0.06920776659615324,0.08177596702240475,0.06846031173397638,0.04347300444518076,0.026578267973325964
nih_exporter,0.08567513545934258,0.1635583653378898,0.12424466159946657,0.10499262685392186,0.10329141997852176,0.13231197287040874,0.06374198208184723,0.048568586809950354,-0.20015733946777647,-0.06975301266660683,0.13212442061210794,0.14087263647260606,-0.009521434538092066,-0.018781763596995127
pubmed_central,0.02647586604855512,-0.010481533115842545,0.04930025280910155,0.05996291415818167,0.09740248534217688,0.05297183190857346,0.04348013898921632,0.03086637612314025,-0.08009097780286467,-0.16946488830852946,0.08351476756137544,0.07918996259087763,0.011332332308346516,0.027865306313257676
wikipedia_en,0.01645001534997892,0.06823442306378169,0.06182194786161044,0.0019596166320292596,0.04291772308458519,-0.003971494564034117,0.01752212814084242,-0.03294204758666197,0.022087601840238058,0.035890760897831164,0.045418358710766604,0.05047692172843288,0.0184855723753099,-0.19236535101717234
dm_mathematics,0.016052581207061323,-0.018694954437678213,-0.31771942941393827,0.049864108967870635,0.05873702671677439,0.03973455852948948,0.019562439984664337,0.03877218195048471,0.0642589426038418,0.05505558700468871,0.03216302955297223,0.06191158530550478,0.04975828656385328,0.04642802485331554
github,0.037353973566844445,0.04660416793561151,0.05114029388913477,0.08062380387505197,-0.21401117685188575,0.05657531060008125,0.02856171523757922,0.05862186563196481,0.10413360390559401,0.07663706518905311,-0.0659224761643653,0.03659158900251658,0.08398663390925876,0.07468147943482606
philpapers,-0.03164952779978236,-0.16431742768876578,0.047042076902408025,-0.021449727468799473,-0.03353486277293438,-0.043010053563538264,-0.004143238040303032,-0.03601673760330115,-0.08293157320468492,-0.06867824709619441,-0.13593481303961408,0.007459628769165505,0.01660057128854664,-0.06637975171765831
stackexchange,0.0015736133448296385,-0.05968792349863472,0.012415613951774818,0.0572703494983422,-0.10989332036195965,0.033576868553299555,-0.006141185639827462,0.015460083857981033,0.07013066433968085,0.04291423296352903,-0.1933198085235146,0.0023602014253691905,0.045170505832048846,0.03683944193804045
enron_emails,-0.050337620719489884,0.49811245857757314,0.15428102684563183,-0.38978763109790293,-0.03240951214914922,-0.28890422394719195,-0.2429449113211284,-0.36722640082991287,-0.2093626798498347,-0.09595478323535289,0.15473105928261077,-0.14402588671345207,-0.1256062961512594,-0.3959910001259743
gutenberg_pg_19,0.030175319995155547,0.0734794210720997,0.060838543331861006,0.01847168611665051,0.07229151367880426,-0.18881627847571902,0.012173842654742195,0.0068119619014286314,0.05177593630115318,0.05093344001500988,0.06736505561390338,0.05771015549522396,0.04220732595987986,0.00905282203192126
pile_cc,0.0006037813812094228,0.0497362939533641,0.05782216562342746,-0.036466243996402525,0.025130300673886552,-0.04670428260574955,-0.0492920363837035,-0.09380206563782867,0.01553140972228828,0.027088179791677547,0.013181499044914169,0.008609425788172587,0.0022319371708814373,-0.05659793228013399
ubuntu_irc,-0.003816166698245027,0.017988828040096827,0.09668739001742677,0.04152914376909589,0.0291878747555403,0.03746852724799421,-0.0048467225053743235,0.016167105793964964,0.06476073167107188,0.03740747206324713,-0.004512242295627189,-0.6157511812571572,0.05973078489385131,0.05711745380173827
europarl,0.026614653893377138,-0.08938822940911706,0.08876632227853798,0.024395455031092084,0.024613208335107828,0.06029088789690196,0.043312814988764714,0.032939124566202516,0.06752457200683626,-0.007829930115994976,-0.017656859435043692,-0.050257621028538146,0.061265303095063395,0.038297975132836726
hackernews,-0.029998282395684583,0.09208048655440582,0.022529699031776707,0.015686849312663398,-0.07113330071410129,-0.0710402362390683,-0.3624204532055533,-0.07178602052583738,0.08627438406031285,0.07477486702197389,-0.0725468864131642,-0.051641832503937835,0.044197611217049904,-0.026119406112620425
pubmed_abstracts,0.014130498761022459,0.028439022809548575,0.058160587905675465,0.05384872827604603,0.04517785339665714,0.035554227908542124,0.021449521111994052,0.023582449414607964,-0.23265704152535172,-0.0643086214177595,0.04831808384936487,0.05931330462914364,-0.0076941423274599074,0.029582599855862313
uspto_backgrounds,0.025510130267623943,0.048673520763670375,0.05613000033616289,0.03932868833977121,0.07805088331425925,0.035520386527644554,0.025736371283686665,0.024210699333402808,-0.017326445557233505,0.012213044264873574,0.06581888205003672,0.05977243025748802,-0.22285414907542744,0.03424010337701766
