domain_i,domain_j,coef,ci_low,ci_high,significant,co_occurrence_both_gt_1pct
dm_mathematics,ubuntu_irc,-24.95172025338097,-30.5956403737833,-15.07263016975791,True,0.125
gutenberg_pg_19,ubuntu_irc,-22.09368282544444,-26.633760766077827,-14.011390317950564,True,0.13541666666666666
pubmed_central,ubuntu_irc,-20.81710033759447,-23.76649632591222,-14.54834281458259,True,0.17317708333333334
ubuntu_irc,uspto_backgrounds,-20.668338471475206,-23.998516993320482,-14.687326061365736,True,0.14583333333333334
github,ubuntu_irc,-20.12331784335106,-23.547360314306818,-14.275142980704056,True,0.16536458333333334
freelaw,ubuntu_irc,-19.22087940012609,-22.41922285861702,-13.112036169216564,True,0.15494791666666666
arxiv,ubuntu_irc,-19.09434644859362,-22.464759134622767,-13.893264234185365,True,0.1640625
wikipedia_en,ubuntu_irc,-18.705160456332433,-22.35090715062134,-12.509614574293458,True,0.13671875
ubuntu_irc,pubmed_abstracts,-18.43680581708305,-21.93974453126187,-12.829311978977884,True,0.14192708333333334
pile_cc,ubuntu_irc,-18.033270509866963,-20.64317455427988,-12.50714786339922,True,0.16536458333333334
ubuntu_irc,hackernews,-18.028430566281678,-25.18819846008815,-3.122982367814284,True,0.07942708333333333
dm_mathematics,hackernews,-17.447826364382664,-29.003977343728724,-7.260734551242876,True,0.08333333333333333
stackexchange,ubuntu_irc,-17.42104794764748,-20.613208501127417,-12.246344163123624,True,0.15885416666666666
philpapers,hackernews,-15.004655535899206,-21.424153455294377,-1.0847508573662392,True,0.04296875
dm_mathematics,gutenberg_pg_19,-14.82835827184596,-19.09975448656891,-10.483700866152668,True,0.140625
dm_mathematics,uspto_backgrounds,-13.725291928243829,-17.27548356174079,-9.311426741616676,True,0.1640625
wikipedia_en,dm_mathematics,-13.649302000920372,-17.06387626454602,-9.822827494813756,True,0.15104166666666666
freelaw,dm_mathematics,-13.278471004002041,-16.32701107055893,-9.780558004661062,True,0.16276041666666666
