scale,optimum,L1_to_top10_mean,L1_ref_to_top10,spearman_with_top10
test_1M,p_opt_quadratic,1.2525726226631582,0.475693941508841,-0.4191176470588236
test_1M,p_opt_log_share_M6,0.5305421823097176,0.475693941508841,0.43627450980392163
test_1M,p_opt_ensemble_top100,0.36635040291550847,0.475693941508841,0.7230392156862746
test_60M,p_opt_quadratic,1.3065789924036595,0.47687686555314934,-0.3774509803921569
test_60M,p_opt_log_share_M6,0.5010001790117014,0.47687686555314934,0.45098039215686275
test_60M,p_opt_ensemble_top100,0.3329862650854295,0.47687686555314934,0.7818627450980392
test_1B,p_opt_quadratic,1.4767263394468695,0.4114973275688348,-0.4852941176470589
test_1B,p_opt_log_share_M6,0.5582253620817668,0.4114973275688348,0.6691176470588236
test_1B,p_opt_ensemble_top100,0.38852194136713236,0.4114973275688348,0.8799019607843139
est_10B,p_opt_quadratic,1.456108243613659,0.5915371845998456,-0.18137254901960786
est_10B,p_opt_log_share_M6,1.0435364384184178,0.5915371845998456,0.19607843137254904
est_10B,p_opt_ensemble_top100,0.7821641230465842,0.5915371845998456,0.6053921568627452
est_70B,p_opt_quadratic,1.5185709062763215,0.5898841230641552,-0.18872549019607845
est_70B,p_opt_log_share_M6,1.0437368388188182,0.5898841230641552,0.1985294117647059
est_70B,p_opt_ensemble_top100,0.775367926850388,0.5898841230641552,0.607843137254902
