score,set,domain,n_docs,mean_doc,ci95_low,ci95_high,median_doc,trimmed_mean_10,token_weighted_mean,P10,P90,share_Q_ge_0.6
Q_lin,A2,arxiv,17523.0,0.8616554294217582,0.8610867289676216,0.8621798340573221,0.8666628774304286,0.8649492808708161,0.8603993430079151,0.8243225711007914,0.8969164657133717,0.9985162358043714
Q_lin,A3,github,203752.0,0.5743902319470051,0.5740300377354709,0.5747411071815314,0.5807739586589644,0.5770851381849629,0.6232424218564984,0.45477484908828464,0.6805062588938843,0.3983862735089717
Q_equal,A2,arxiv,17523.0,0.8876909528812188,0.8871187442037116,0.8883123025512142,0.89411310331872,0.8919354959548004,0.8878008560190279,0.8431399835035854,0.9275947405590943,0.9985733036580494
Q_equal,A3,github,203752.0,0.5753223932884748,0.5748531039204176,0.5757361608595759,0.5854137131928245,0.5809570181174348,0.6341011989812708,0.4374778104394333,0.6971709597590183,0.4322853272605913
Q_topsis,A2,arxiv,17523.0,0.792967087156118,0.792340320213739,0.7935060555223483,0.7971998918030684,0.7958308018929573,0.7893482424013234,0.7505437922612982,0.8336457849690723,0.9957769788278262
Q_topsis,A3,github,203752.0,0.5233641237269296,0.5230754393965967,0.523636930524997,0.5227016554711785,0.5218093864042825,0.5572579883676287,0.43582960391051384,0.607657354204105,0.11615100710667871
Q_resolved,A2,arxiv,17523.0,0.8254037836957283,0.8246963037180345,0.8260856148173352,0.8322172481836947,0.8300330625879531,0.8237810851174489,0.7759947976233443,0.8717805206042551,0.9941790789248416
Q_resolved,A3,github,203752.0,0.4853913296839021,0.4848572075341288,0.48585895057563855,0.4947024537087834,0.4889469800360226,0.5334892254867575,0.3435133239879438,0.6056877373849142,0.1104627193843496
Q_resolved_lam0,A2,arxiv,17523.0,0.8621874831156224,0.8615860622620783,0.8627455731187197,0.8673496194704585,0.8656562880410666,0.861041722861309,0.8205020818703522,0.9013733122894659,0.9985162358043714
Q_resolved_lam0,A3,github,203752.0,0.5656747919488472,0.5652338551291584,0.5661517542617921,0.5730917233191151,0.5689157452024184,0.6201232626671423,0.43869595833279623,0.6776768014631276,0.3642712709568495
