indicator,pc1_loading,explained
fineweb_edu,0.250878499748908,0.42918743947531107
qurater,0.2939788077425771,0.42918743947531107
modernbert_reasoning,0.30123876367069247,0.42918743947531107
modernbert_professionalism,0.20849069520763483,0.42918743947531107
fluency_en,0.24404388355266973,0.42918743947531107
modernbert_readability,0.28537109987124243,0.42918743947531107
modernbert_cleanliness,0.2921757931678049,0.42918743947531107
ad_en,0.03646589327910588,0.42918743947531107
dsir_books,0.29178208076839,0.42918743947531107
dsir_wiki,0.29231591565348347,0.42918743947531107
dsir_math,0.30221379864958675,0.42918743947531107
rps_doc_word_count,0.17748467260585774,0.42918743947531107
rps_doc_num_sentences,0.11093642598033476,0.42918743947531107
rps_doc_unigram_entropy,0.29407357730659156,0.42918743947531107
rps_doc_frac_unique_words,0.008362467974246179,0.42918743947531107
rps_doc_frac_no_alph_words,0.0993346254341964,0.42918743947531107
rps_doc_frac_chars_top_2gram,0.13051644751162977,0.42918743947531107
rps_doc_frac_chars_top_3gram,0.10506700382154503,0.42918743947531107
rps_lines_uppercase_letter_fraction,0.04977552844881979,0.42918743947531107
rps_lines_ending_with_terminal_punctution_mark,0.11059343514428617,0.42918743947531107
rps_lines_numerical_chars_fraction,-0.12594180639272146,0.42918743947531107
rps_doc_mean_word_length,0.16717190688909117,0.42918743947531107
