g,Lctx,kappa_c,C,Q,regime,N,D,L
指数型,2048,6.4096,1e+22,1.0,B,5598537926.193925,253127024137.29987,2.1504463474790727
指数型,2048,6.4096,1.3335214321633241e+22,1.0,B,6299974421.253617,303060763057.9031,2.129741897729788
指数型,2048,6.4096,1.7782794100389228e+22,1.0,B,7097286131.126095,362084818007.0373,2.1100490937371945
指数型,2048,6.4096,2.371373705661655e+22,1.0,B,8003882367.976671,431762124123.4066,2.0913078945722274
指数型,2048,6.4096,3.1622776601683792e+22,1.0,B,9035032522.770794,513920634953.70245,2.0734629490170104
指数型,2048,6.4096,4.2169650342858225e+22,1.0,B,10208122930.676027,610698957485.2789,2.0564631627551444
指数型,2048,6.4096,5.623413251903491e+22,1.0,B,11542949586.732914,724599818313.805,2.0402613018972517
指数型,2048,6.4096,7.498942093324558e+22,1.0,B,13062051695.870619,858552681469.158,2.0248136313263716
指数型,2048,6.4096,1.0000000000000001e+23,1.0,B,14791091721.304512,1015987067214.5773,2.010079586151821
指数型,2048,6.4096,1.3335214321633241e+23,1.0,B,16759288372.167007,1200918389567.0454,1.996021474384123
指数型,2048,6.4096,1.7782794100389228e+23,1.0,B,18999909858.514576,1418048444701.327,1.982604208804199
指数型,2048,6.4096,2.371373705661655e+23,1.0,B,21550835754.839367,1672883050329.9612,1.9697950659067338
指数型,2048,6.4096,3.162277660168379e+23,1.0,B,24455196969.01301,1971869766537.683,1.9575634697536755
指数型,2048,6.4096,4.2169650342858225e+23,1.0,B,27762104631.559677,2322559131970.7573,1.9458807985775004
指数型,2048,6.4096,5.623413251903491e+23,1.0,B,31527480222.372128,2733793438208.8735,1.9347202120199471
指数型,2048,6.4096,7.498942093324558e+23,1.0,B,35815000963.524,3215927754246.974,1.924056496973138
指数型,2048,6.4096,1e+24,1.0,B,40697176456.404396,3781088719490.443,1.9138659300982885
指数型,2048,6.4096,1.333521432163324e+24,1.0,B,46256574761.72472,4443477567683.848,1.904126155224441
指数型,2048,6.4096,1.7782794100389228e+24,1.0,B,52587218649.35999,5219724949364.762,1.8948160739685183
指数型,2048,6.4096,2.3713737056616553e+24,1.0,B,59796175624.13493,6129306414398.638,1.8859157480620794
指数型,2048,6.4096,3.1622776601683796e+24,1.0,B,68005368612.10192,7195028931266.384,1.8774063120143225
指数型,2048,6.4096,4.2169650342858227e+24,1.0,B,77353637924.9367,8443600593920.027,1.8692698948811304
指数型,2048,6.4096,5.62341325190349e+24,1.0,B,87999089370.98122,9906297744521.305,1.8614895500434037
指数型,2048,6.4096,7.498942093324559e+24,1.0,B,100121768221.9171,11619746173154.582,1.8540491920226583
指数型,2048,6.4096,1e+25,1.0,B,113926704256.059,13626835904418.021,1.846933539476736
指数型,2048,6.4096,1.3335214321633241e+25,1.0,B,129647379375.92465,15977792416815.342,1.840128063622973
指数型,2048,6.4096,1.7782794100389228e+25,1.0,B,147549676445.33975,18731431047403.58,1.833618941430268
指数型,2048,6.4096,2.3713737056616553e+25,1.0,B,167936376130.59238,21956625908786.61,1.8273930130054852
指数型,2048,6.4096,3.1622776601683795e+25,1.0,B,191152277799.0168,25734030002492.777,1.821437742674053
指数型,2048,6.4096,4.216965034285822e+25,1.0,B,217590031083.30286,30158089485860.445,1.815741183320156
指数型,2048,6.4096,5.6234132519034905e+25,1.0,B,247696776739.58746,35339402395405.86,1.8102919436093465
指数型,2048,6.4096,7.498942093324558e+25,1.0,B,281981709115.16315,41407480731726.59,1.8050791577664533
指数型,2048,6.4096,1e+26,1.0,B,321024688128.9512,48513984884122.336,1.8000924576251978
指数型,2048,6.4096,1.333521432163324e+26,1.0,B,365486046418.3966,56836511168845.484,1.7953219467035888
指数型,2048,6.4096,1.7782794100389227e+26,1.0,B,416117757520.35077,66583027067805.055,1.790758176091746
指数型,2048,6.4096,2.3713737056616553e+26,1.0,B,473776153972.8262,77997064929568.48,1.786392121966859
指数型,2048,6.4096,3.1622776601683796e+26,1.0,B,539436410438.0936,91363803835650.6,1.7822151645741717
指数型,2048,6.4096,4.216965034285822e+26,1.0,B,614209036799.6991,107017191515225.48,1.7782190685336388
指数型,2048,6.4096,5.623413251903491e+26,1.0,B,699358660180.4564,125348284164610.62,1.7743959643497766
指数型,2048,6.4096,7.498942093324558e+26,1.0,B,796325413540.9263,146815012442688.25,1.7707383310175362
指数型,2048,6.4096,1e+27,1.0,B,906749292603.101,171953617529382.7,1.7672389796302026
指数型,4096,6.8192,1000000000000000.0,0.6200709735609296,A,3363296.451055621,43601499.25786687,8.073073054445922
指数型,4096,6.8192,1333521432163324.0,0.6200709735609296,A,3830058.1250299253,51057695.28252804,7.797181384924389
指数型,4096,6.8192,1778279410038922.8,0.6200709735609296,A,4361597.454932491,59788958.910470195,7.533214035232747
指数型,4096,6.8192,2371373705661655.5,0.6200709735609296,A,4966904.349193136,70013336.63451028,7.280655624085101
指数型,4096,6.8192,3162277660168379.5,0.6200709735609296,A,5656216.34480147,81986162.59629928,7.03901304550129
指数型,4096,6.8192,4216965034285822.5,0.6200709735609296,A,6441191.754456948,96006435.06473936,6.80781450604541
指数型,4096,6.8192,5623413251903491.0,0.6200709735609296,A,7335106.843255047,112424283.3418823,6.586608603675877
指数型,4096,6.8192,7498942093324558.0,0.6200709735609296,A,8353080.369752669,131649711.56790589,6.374963446408539
指数型,4096,6.8192,1e+16,0.6200709735609296,A,9512329.289069269,154162837.7848517,6.17246580907205
指数型,4096,6.8192,1.333521432163324e+16,0.6200709735609296,A,10832459.94272224,180525883.96002427,5.978720326509153
指数型,4096,6.8192,1.7782794100389228e+16,0.6200709735609296,A,12335799.66008119,211397216.39679563,5.79334872164863
指数型,4096,6.8192,2.371373705661655e+16,0.6200709735609296,A,14047774.379807033,247547787.16502213,5.615989066940753
指数型,4096,6.8192,3.162277660168379e+16,0.6200709735609296,A,15997338.677974671,289880387.1441504,5.446295077714271
指数型,4096,6.8192,4.216965034285822e+16,0.6200709735609296,A,18217465.475932565,339452191.48666966,5.283935436075217
指数型,4096,6.8192,5.623413251903491e+16,0.6200709735609296,A,20745703.71031306,397501160.53144056,5.128593144027502
指数型,4096,6.8192,7.498942093324558e+16,0.6200709735609296,A,23624813.3970494,465476955.4788607,4.979964904552297
指数型,4096,6.8192,1e+17,0.6200709735609296,A,26903488.830217354,545077140.8873188,4.837760529437802
指数型,4096,6.8192,1.333521432163324e+17,0.6200709735609296,A,30637182.147141483,638289578.0785578,4.701702372703209
指数型,4096,6.8192,1.778279410038923e+17,0.6200709735609296,A,34889041.18869779,747442068.1455917,4.571524788510666
指数型,4096,6.8192,2.3713737056616554e+17,0.6200709735609296,A,39730977.51681501,875260484.301694,4.446973612506839
指数型,4096,6.8192,3.1622776601683795e+17,0.6200709735609296,A,45244882.65252301,1024936845.3138858,4.327805665581418
指数型,4096,6.8192,4.216965034285823e+17,0.6200709735609296,A,51524013.104741566,1200209030.0238993,4.213788279073697
指数型,4096,6.8192,5.6234132519034906e+17,0.6200709735609296,A,58674567.61476487,1405454123.673119,4.104698840500192
指数型,4096,6.8192,7.498942093324558e+17,0.6200709735609296,A,66817483.292325884,1645797727.1762583,4.0003243589164
指数型,4096,6.8192,1e+18,0.6200709735609296,A,76090481.02123144,1927241959.1324413,3.9004610490640417
指数型,4096,6.8192,1.333521432163324e+18,0.6200709735609296,A,86650394.72846094,2256815347.1771493,3.804913933491912
指数型,4096,6.8192,1.7782794100389228e+18,0.6200709735609296,A,98675823.91157591,2642748351.923088,3.7134964618734445
指数型,4096,6.8192,2.371373705661655e+18,0.6200709735609296,A,112370154.28655727,3094678906.86231,3.6260301467777865
指数型,4096,6.8192,3.1622776601683794e+18,0.6200709735609296,A,127964997.64420418,3623893107.192522,3.5423442151832005
指数型,4096,6.8192,4.2169650342858225e+18,0.6360419506094451,I,152504183.99800223,3899280029.194428,3.4621501598034365
指数型,4096,6.8192,5.623413251903491e+18,0.6987577411924988,I,201402867.5559099,3465898370.103496,3.3818194983158816
指数型,4096,6.8192,7.498942093324558e+18,0.7448172478690868,I,249515209.78192732,3469669448.371846,3.30215867793728
指数型,4096,6.8192,1e+19,0.7844621037007745,I,301676878.9041062,3634620899.1810536,3.224451215346255
指数型,4096,6.8192,1.3335214321633241e+19,0.8205285869412958,I,359844272.1161186,3904427387.151666,3.149233093999725
指数型,4096,6.8192,1.7782794100389229e+19,0.8542916673671713,I,425518501.5625667,4262538044.053899,3.0767636783204795
指数型,4096,6.8192,2.3713737056616554e+19,0.8864536128893323,I,500155049.45733887,4705979202.810841,3.007162768182565
指数型,4096,6.8192,3.162277660168379e+19,0.9174496370204839,I,585304620.4952402,5238220535.985294,2.940469539447246
指数型,4096,6.8192,4.216965034285823e+19,0.9475712212252458,I,682687599.0512989,5866673324.812103,2.8766730980250435
指数型,4096,6.8192,5.6234132519034905e+19,0.9770246665005434,I,794248952.3282028,6601717981.1614275,2.8157302038300056
指数型,4096,6.8192,7.498942093324558e+19,1.0,B,911218389.4137642,7624557690.265777,2.7575970563239216
指数型,4096,6.8192,1e+20,1.0,B,998840780.3291664,9585188244.984104,2.7027886546221223
指数型,4096,6.8192,1.333521432163324e+20,1.0,B,1096651715.0941072,12013971107.850029,2.6513593724092415
指数型,4096,6.8192,1.778279410038923e+20,1.0,B,1206021832.5334613,15012186516.65193,2.603059972641127
指数型,4096,6.8192,2.3713737056616553e+20,1.0,B,1328519990.0855143,18700340732.96362,2.5576607708179866
指数型,4096,6.8192,3.1622776601683794e+20,1.0,B,1465941873.8345652,23221275031.711132,2.514950177734973
指数型,4096,6.8192,4.216965034285823e+20,1.0,B,1620342475.4168653,28743722860.474186,2.4747333509321447
指数型,4096,6.8192,5.6234132519034906e+20,1.0,B,1794072919.338511,35466394229.386986,2.436830944710585
指数型,4096,6.8192,7.498942093324558e+20,1.0,B,1989822192.4471114,43622686455.56119,2.4010779493599803
指数型,4096,6.8192,1e+21,1.0,B,2210664409.363311,53486144028.74168,2.3673226110644308
指数型,4096,6.8192,1.333521432163324e+21,1.0,B,2460112345.727266,65376817380.32674,2.3354254248236774
指数型,4096,6.8192,1.7782794100389228e+21,1.0,B,2742178086.9758997,79668700453.85703,2.3052581936410164
指数型,4096,6.8192,2.3713737056616553e+21,1.0,B,3061441775.484706,96798459997.47025,2.276703148169751
指数型,4096,6.8192,3.1622776601683794e+21,1.0,B,3423129594.3669853,117275705475.59256,2.2496521219492056
指数型,4096,6.8192,4.2169650342858226e+21,1.0,B,3833202302.8971496,141695087867.83362,2.2240057782630807
指数型,4096,6.8192,5.623413251903491e+21,1.0,B,4298455837.34832,170750559318.62543,2.1996728854783294
指数型,4096,6.8192,7.498942093324559e+21,1.0,B,4826635713.332973,205252175072.85056,2.1765696384351205
指数型,4096,6.8192,1e+22,1.0,B,5426567213.576398,246145876308.56497,2.1546190240292
指数型,4096,6.8192,1.3335214321633241e+22,1.0,B,6108303621.524442,294536759668.56067,2.1337502295405506
指数型,4096,6.8192,1.7782794100389228e+22,1.0,B,6883295070.563139,351716419082.3356,2.1138980925144453
指数型,4096,6.8192,2.371373705661655e+22,1.0,B,7764580926.44366,419195040630.41583,2.0950025911047025
指数型,4096,6.8192,3.1622776601683792e+22,1.0,B,8767009013.472752,498739044660.3288,2.077008373767663
指数型,4096,6.8192,4.2169650342858225e+22,1.0,B,9907485440.99013,592415204229.1855,2.0598643270804238
指数型,4096,6.8192,5.623413251903491e+22,1.0,B,11205259294.42348,702642328615.0918,2.0435231802826563
指数型,4096,6.8192,7.498942093324558e+22,1.0,B,12682247034.593302,832251788922.4435,2.027941144941282
指数型,4096,6.8192,1.0000000000000001e+23,1.0,B,14363402110.69163,984558384113.2572,2.0130775879404172
指数型,4096,6.8192,1.3335214321633241e+23,1.0,B,16277136048.371256,1163443305312.4556,1.9988947358276672
指数型,4096,6.8192,1.7782794100389228e+23,1.0,B,18455798137.814926,1373451260111.727,1.9853574084171361
指数型,4096,6.8192,2.371373705661655e+23,1.0,B,20936221832.255737,1619904174143.0793,1.9724327794673342
指数型,4096,6.8192,3.162277660168379e+23,1.0,B,23760347091.79275,1909034303078.5374,1.9600901622203417
指数型,4096,6.8192,4.2169650342858225e+23,1.0,B,26975929189.314728,2248140074683.235,1.9483008176042684
指数型,4096,6.8192,5.623413251903491e+23,1.0,B,30637345956.360752,2645768549675.1143,1.937037782958265
指数型,4096,6.8192,7.498942093324558e+23,1.0,B,34806517111.22508,3111929056111.572,1.9262757192303197
指数型,4096,6.8192,1e+24,1.0,B,39553951207.480064,3658343331466.1885,1.9159907747144957
指数型,4096,6.8192,1.333521432163324e+24,1.0,B,44959937900.174225,4298738418969.722,1.9061604635280032
指数型,4096,6.8192,1.7782794100389228e+24,1.0,B,51115905685.61538,5049189632990.046,1.8967635571722907
指数型,4096,6.8192,2.3713737056616553e+24,1.0,B,58125968070.3185,5928522158931.489,1.8877799876699712
指数型,4096,6.8192,3.1622776601683796e+24,1.0,B,66108684312.62843,6958781317617.902,1.8791907609159315
指数型,4096,6.8192,4.2169650342858227e+24,1.0,B,75199064510.58606,8165783238990.349,1.8709778790226341
指数型,4096,6.8192,5.62341325190349e+24,1.0,B,85550852943.15814,9579759698051.861,1.8631242705737363
指数型,4096,6.8192,7.498942093324559e+24,1.0,B,97339128278.8639,11236113217500.762,1.855613727824994
指数型,4096,6.8192,1e+25,1.0,B,110763264625.69608,13176301295153.416,1.8484308500059794
指数型,4096,6.8192,1.3335214321633241e+25,1.0,B,126050303499.77417,15448871838839.111,1.841560991980088
指数型,4096,6.8192,1.7782794100389228e+25,1.0,B,143458793740.5351,18110675667498.996,1.8349902176136623
指数型,4096,6.8192,2.3713737056616553e+25,1.0,B,163283164315.02023,21228286359045.11,1.8287052572882239
指数型,4096,6.8192,3.1622776601683795e+25,1.0,B,185858703966.9929,24879662903544.33,1.822693469063376
指数型,4096,6.8192,4.216965034285822e+25,1.0,B,211567231930.3617,29156096683836.47,1.8169428030626302
指数型,4096,6.8192,5.6234132519034905e+25,1.0,B,240843555614.64825,34164491406158.254,1.8114417687110027
指数型,4096,6.8192,7.498942093324558e+25,1.0,B,274182824480.39734,40030032918086.79,1.8061794045025434
指数型,4096,6.8192,1e+26,1.0,B,312148904479.86444,46899315587748.3,1.801145250018767
指数型,4096,6.8192,1.333521432163324e+26,1.0,B,355383914699.1897,54944003319941.0,1.796329319956
指数型,4096,6.8192,1.7782794100389227e+26,1.0,B,404619087494.6266,64365116636316.22,1.7917220799516607
指数型,4096,6.8192,2.3713737056616553e+26,1.0,B,460687135799.7691,75398052881462.95,1.7873144240270593
指数型,4096,6.8192,3.1622776601683796e+26,1.0,B,524536336771.3839,88318464925143.2,1.7830976534880274
指数型,4096,6.8192,4.216965034285822e+26,1.0,B,597246569969.9836,103449145170177.17,1.7790634571450883
指数型,4096,6.8192,5.623413251903491e+26,1.0,B,680047581328.3066,121168086781028.7,1.7752038927323948
指数型,4096,6.8192,7.498942093324558e+26,1.0,B,774339781805.4945,141917923446959.8,1.7715113694197082
指数型,4096,6.8192,1e+27,1.0,B,881717932493.8866,166216983419849.94,1.7679786313246049
指数型,8192,7.6384,1000000000000000.0,0.6200709735609296,A,3195355.177838996,40971179.20884336,8.185209805290878
指数型,8192,7.6384,1333521432163324.0,0.6200709735609296,A,3638809.7925169393,47977570.01517658,7.904471470829883
指数型,8192,7.6384,1778279410038922.8,0.6200709735609296,A,4143807.485924584,56182108.22851645,7.635866934009204
指数型,8192,7.6384,2371373705661655.5,0.6200709735609296,A,4718889.268605476,65789686.38891589,7.3788717596979625
指数型,8192,7.6384,3162277660168379.5,0.6200709735609296,A,5373781.481161482,77040235.25687142,7.132984179387442
指数型,8192,7.6384,4216965034285822.5,0.6200709735609296,A,6119560.295554052,90214715.62196147,6.897724111516516
指数型,8192,7.6384,5623413251903491.0,0.6200709735609296,A,6968839.046061707,105642134.7574416,6.672632224139622
指数型,8192,7.6384,7498942093324558.0,0.6200709735609296,A,7935981.558217063,123707762.74322839,6.457269038107175
指数型,8192,7.6384,1e+16,0.6200709735609296,A,9037345.083748663,144862753.8441222,6.251214069007443
指数型,8192,7.6384,1.333521432163324e+16,0.6200709735609296,A,10291556.95027917,169635413.21865386,6.054065006194569
指数型,8192,7.6384,1.7782794100389228e+16,0.6200709735609296,A,11719829.604747765,198644390.32291046,5.865436927299842
指数型,8192,7.6384,2.371373705661655e+16,0.6200709735609296,A,13346319.37887648,232614128.48919067,5.684961546692599
指数型,8192,7.6384,3.162277660168379e+16,0.6200709735609296,A,15198535.0444699,272392956.50295943,5.512286496423397
指数型,8192,7.6384,4.216965034285822e+16,0.6200709735609296,A,17307803.06843108,318974273.98040056,5.347074638245581
指数型,8192,7.6384,5.623413251903491e+16,0.6200709735609296,A,19709797.436338432,373521359.6105526,5.189003405371964
指数型,8192,7.6384,7.498942093324558e+16,0.6200709735609296,A,22445143.00547259,437396421.80011207,5.037764172681459
指数型,8192,7.6384,1e+17,0.6200709735609296,A,25560102.591784995,512194617.20479894,4.893061654146029
指数型,8192,7.6384,1.333521432163324e+17,0.6200709735609296,A,29107359.41148986,599783886.6945701,4.75461332630146
指数型,8192,7.6384,1.778279410038923e+17,0.6200709735609296,A,33146908.11068779,702351603.5792365,4.622148876636304
指数型,8192,7.6384,2.3713737056616554e+17,0.6200709735609296,A,37747069.452980325,822459199.044028,4.495409675822037
指数型,8192,7.6384,3.1622776601683795e+17,0.6200709735609296,A,42985645.82645699,963106128.9601251,4.374148272753948
指数型,8192,7.6384,4.216965034285823e+17,0.6200709735609296,A,48951237.11310225,1127804779.5182025,4.258127911416886
指数型,8192,7.6384,5.6234132519034906e+17,0.6200709735609296,A,55744739.17589312,1320668182.3086605,4.147122068632566
指数型,8192,7.6384,7.498942093324558e+17,0.6200709735609296,A,63481050.307441846,1546512729.3639991,4.040914011785902
指数型,8192,7.6384,1e+18,0.6200709735609296,A,72291014.50130539,1810978453.273512,3.9392963756668635
指数型,8192,7.6384,1.333521432163324e+18,0.6200709735609296,A,82323634.41244583,2120669876.1346002,3.8420707576016584
指数型,8192,7.6384,1.7782794100389228e+18,0.6200709735609296,A,93748591.43457857,2483320944.7718906,3.749047330082761
指数型,8192,7.6384,2.371373705661655e+18,0.6200709735609296,A,106759115.51639143,2907988171.1637897,3.660044470141463
指数型,8192,7.6384,3.1622776601683794e+18,0.6200709735609296,A,121575253.25376056,3405276801.3863354,3.574888404739325
指数型,8192,7.6384,4.2169650342858225e+18,0.6697468698861437,I,157759173.7785319,3127445340.76326,3.491937752994901
指数型,8192,7.6384,5.623413251903491e+18,0.7219230155308898,I,200069363.66221482,2997551864.374946,3.4085149262672934
指数型,8192,7.6384,7.498942093324558e+18,0.7643663282136194,I,244475323.84499595,3078652346.3404603,3.3265951465863015
指数型,8192,7.6384,1e+19,0.8020790857197443,I,293431196.40229374,3269168172.528105,3.2470239543511217
指数型,8192,7.6384,1.3335214321633241e+19,0.8369297555745066,I,348408499.3878244,3541918958.8025427,3.1701931366244347
指数型,8192,7.6384,1.7782794100389229e+19,0.8698590931479535,I,410704709.37569463,3889426738.287865,3.096292049606796
指数型,8192,7.6384,2.3713737056616554e+19,0.901419262897881,I,481649610.6504343,4312206857.036359,3.0253998332872025
指数型,8192,7.6384,3.162277660168379e+19,0.9319664445575004,I,562693253.7284338,4815089589.663316,2.9575293620490557
指数型,8192,7.6384,4.216965034285823e+19,0.9617461827197932,I,655461765.2750161,5405834261.2971525,2.892651439420356
指数型,8192,7.6384,5.6234132519034905e+19,0.990936189954187,I,761803671.3834469,6094590764.823729,2.8307093937427084
指数型,8192,7.6384,7.498942093324558e+19,1.0,B,849881814.7695472,7415000220.36736,2.771856546160596
指数型,8192,7.6384,1e+20,1.0,B,932319494.0561026,9308475705.182796,2.7166081185278066
指数型,8192,7.6384,1.333521432163324e+20,1.0,B,1024418295.56276,11650153639.268156,2.6647450250552676
指数型,8192,7.6384,1.778279410038923e+20,1.0,B,1127483602.7077844,14535980765.849367,2.6160181543148333
指数型,8192,7.6384,2.3713737056616553e+20,1.0,B,1243009582.5748844,18079906785.80455,2.570197976332115
指数型,8192,7.6384,3.1622776601683794e+20,1.0,B,1372706329.9981253,22416772458.123318,2.5270730834888684
指数型,8192,7.6384,4.216965034285823e+20,1.0,B,1518530663.5963924,27705619176.294437,2.4864488392579864
指数型,8192,7.6384,5.6234132519034906e+20,1.0,B,1682721033.1733558,34133496877.498726,2.448146124622029
指数型,8192,7.6384,7.498942093324558e+20,1.0,B,1867837064.4638717,41919866130.08574,2.412000172855309
指数型,8192,7.6384,1e+21,1.0,B,2076804347.080525,51321712279.405174,2.3778594842275993
指数型,8192,7.6384,1.333521432163324e+21,1.0,B,2312965166.4772205,62639514391.79311,2.345584813115333
指数型,8192,7.6384,1.7782794100389228e+21,1.0,B,2580135992.2742543,76224239199.47235,2.3150482209723524
指数型,8192,7.6384,2.3713737056616553e+21,1.0,B,2882672664.5051374,92485560229.38019,2.2861321895933475
指数型,8192,7.6384,3.1622776601683794e+21,1.0,B,3225544367.1067076,111901534987.34122,2.2587287900656214
指数型,8192,7.6384,4.2169650342858226e+21,1.0,B,3614417645.0491214,135030009046.26462,2.2327389037090506
指数型,8192,7.6384,5.623413251903491e+21,1.0,B,4055751908.8550677,162522056182.25323,2.2080714921101245
指数型,8192,7.6384,7.498942093324559e+21,1.0,B,4556908079.351671,195137809787.0518,2.184642914028858
