Q,N_B,D_B,L,L_raw,G,c_train,c_Q,c_attn,c_tot,s_train,s_Q,s_attn,u,v,wN,theta,kappa,tokens_per_param,g,C,Lctx
0.9999999752955319,0.32800137004686236,3.3900731101232426,2.9532344356947267,3.088215226634224,847431309.5714178,6.671691748076708e+18,2.872854095254589e+18,4.554541566687033e+17,1e+19,0.6671691748076708,0.2872854095254589,0.04554541566687033,0.5170944380163884,0.8813227727387745,0.3697712199474082,0.7127145904745412,6.4096,10.335545579089791,对数渐进型,1e+19,2048
0.9999999752955319,5.156301491932706,295.0090833616064,2.010000817022436,2.1449816079619337,847431309.5714178,9.126934660026907e+21,2.4999993384858966e+20,6.230654061245035e+20,1e+22,0.9126934660026906,0.024999993384858966,0.06230654061245035,0.202674955215819,0.252508647577494,0.44525978961471596,0.975000006615141,6.4096,57.21331148365994,对数渐进型,1e+22,2048
0.9999999752955319,40.203537839581344,3867.932875267376,1.7785191546561723,1.9134999455956698,847431309.5714178,9.330275142706358e+23,3.277807421822172e+21,6.369467830754207e+22,1e+24,0.9330275142706358,0.003277807421822172,0.06369467830754207,0.10082442886286831,0.1228775141926606,0.45070877564009776,0.9967221925781778,6.4096,96.20876875813909,对数渐进型,1e+24,2048
0.9999999752955319,0.3162724610822707,3.328721416237148,2.964192155446092,3.0991729463855897,847431309.5714178,6.316697487423507e+18,2.8208627489602714e+18,8.624397636162228e+17,1.0000000000000002e+19,0.6316697487423506,0.28208627489602706,0.08624397636162227,0.5235357676780211,0.885839162704082,0.3714666384310402,0.7179137251039729,6.8192,10.524853807525346,对数渐进型,1e+19,4096
0.9999999752955319,5.009348309654535,285.6556911801635,2.0142901981912567,2.149270989130754,847431309.5714178,8.5856931225393e+21,2.4207357646333447e+20,1.1722333009973658e+21,1e+22,0.85856931225393,0.024207357646333447,0.11722333009973658,0.2046770748764061,0.2547959090370214,0.4454605211673789,0.9757926423536666,6.8192,57.024521658759134,对数渐进型,1e+22,4096
0.9999999752955319,39.089684306821376,3739.606606699536,1.7806526886632192,1.9156334796027168,847431309.5714178,8.770802501255302e+23,3.169059723997313e+21,1.197506901504724e+23,9.999999999999998e+23,0.8770802501255303,0.0031690597239973136,0.11975069015047242,0.10179213113683848,0.12404334590151099,0.4507357855008449,0.9968309402760027,6.8192,95.66735247454922,对数渐进型,1e+24,4096
0.9999999752955319,0.2959579415165918,3.217424075856785,2.984614240681748,3.1195950316212455,847431309.5714178,5.713333238858982e+18,2.726545898049924e+18,1.5601208630910927e+18,1e+19,0.5713333238858982,0.2726545898049924,0.15601208630910926,0.5354862995892689,0.8943107157965964,0.3745191057380652,0.7273454101950075,7.6384,10.871220617935037,对数渐进型,1e+19,8192
0.9999999752955319,4.751348618656646,269.25051959703524,2.0222558002836557,2.1572365912231533,847431309.5714178,7.675818506159744e+21,2.2817132042490026e+20,2.0960101734153543e+21,9.999999999999998e+21,0.7675818506159746,0.022817132042490033,0.20960101734153547,0.20838984266489166,0.25904874325048527,0.4458122391774856,0.97718286795751,7.6384,56.66823068713504,对数渐进型,1e+22,8192
0.9999999752955319,37.12957846657254,3515.457423613141,1.7846132480085368,1.9195940389480344,847431309.5714178,7.831647135356344e+23,2.979108688235047e+21,2.1385617777613058e+23,1e+24,0.7831647135356344,0.002979108688235047,0.21385617777613058,0.10358813691316632,0.12620789942552854,0.45078295763330073,0.997020891311765,7.6384,94.68077928161988,对数渐进型,1e+24,8192
0.9999999752955319,0.2223158002115178,2.7485402275977098,3.079627197572018,3.2146079885115157,847431309.5714178,3.6662635206715924e+18,2.32919904448285e+18,4.0045374348455583e+18,1e+19,0.36662635206715927,0.23291990444828498,0.4004537434845558,0.5901926452532978,0.9346173259439635,0.3870598018124751,0.767080095551715,12.5536,12.363224858434117,对数渐进型,1e+19,32768
