Q,N,D,L,VA,VB,VI,shape,n_local_min,n_local_max,regime,g,C
0.6200709735609296,9037345.083748663,144862753.8441222,6.251214069007443,6.251214069007443,9.264965540928507,6.279820504310688,单调上升,0,0,A,指数型,1e+16
0.6200709735609296,9519561.679891093,154305231.53441715,6.171307672042585,6.171307672042585,9.050836601486822,6.197923585336528,单调上升,0,0,A,指数型,1.1220184543019652e+16
0.6200709735609296,10027508.492534058,164363191.00015685,6.092801066760686,6.092801066760686,8.843266333600019,6.117557271524687,单调上升,0,0,A,指数型,1.2589254117941714e+16
0.6200709735609296,10562558.440084925,175076750.71747756,6.015669731761333,6.015669731761333,8.642048363354583,6.038688748407624,单调上升,0,0,A,指数型,1.4125375446227496e+16
0.6200709735609296,11126157.69742574,186488644.17435557,5.9398895752073635,5.9398895752073635,8.446982843609009,5.961286133272358,单调上升,0,0,A,指数型,1.5848931924611108e+16
0.6200709735609296,11719829.604747765,198644390.32291046,5.865436927299842,5.865436927299842,8.257876247139892,5.885318439466487,单调上升,0,0,A,指数型,1.7782794100389228e+16
0.6200709735609296,12345178.784954822,211592475.14217815,5.79228853288483,5.79228853288483,8.074541166346917,5.810755542201369,单调上升,0,0,A,指数型,1.9952623149688828e+16
0.6200709735609296,13003895.480763584,225384545.03554928,5.720421544189673,5.720421544189673,7.896796119308998,5.737568145803828,单调上升,0,0,A,指数型,2.2387211385683468e+16
0.6200709735609296,13697760.123223847,240075612.8342832,5.649813513686552,5.649813513686552,7.724465361990274,5.665727752367522,单调上升,0,0,A,指数型,2.511886431509572e+16
0.6200709735609296,14428648.144007131,255724277.22879598,5.5804423870810185,5.5804423870810185,7.557378706400918,5.595206631755111,单调上升,0,0,A,指数型,2.8183829312644492e+16
0.6200709735609296,15198535.0444699,272392956.50295943,5.512286496423397,5.512286496423397,7.3953713445243165,5.525977792902701,单调上升,0,0,A,指数型,3.162277660168379e+16
0.6200709735609296,16009501.735193558,290148137.5037322,5.445324553340824,5.445324553340824,7.238283677827547,5.458014956378179,单调上升,0,0,A,指数型,3.5481338923357604e+16
0.6200709735609296,16863740.16043244,309060640.8391826,5.379535642387867,5.379535642387867,7.0859611521784815,5.391292528145747,单调上升,0,0,A,指数型,3.981071705534986e+16
0.6200709735609296,17763559.222671963,329205903.362717,5.314899214513626,5.314899214513626,6.938254097998103,5.325785574489454,单调上升,0,0,A,指数型,4.466835921509617e+16
0.6200709735609296,18711391.023311563,350664279.0702564,5.251395080643254,5.251395080643254,6.795017575482101,5.261469798049317,单调上升,0,0,A,指数型,5.0118723362727144e+16
0.6200709735609296,19709797.436338432,373521359.6105526,5.189003405371964,5.189003405371964,6.6561112247313305,5.198321514924494,单调上升,0,0,A,指数型,5.623413251903491e+16
0.6200709735609296,20761477.032760914,397868315.68710595,5.1277047007694545,5.1277047007694545,6.521399120635365,5.136317632798825,单调上升,0,0,A,指数型,6.309573444801943e+16
0.6200709735609296,21869272.374517854,423802260.7133989,5.0674798202928955,5.0674798202928955,6.390749632358771,5.075435630045184,单调上升,0,0,A,指数型,7.0794578438414024e+16
0.6200709735609296,23036177.697577123,451426638.1720029,5.008309952806544,5.008309952806544,6.2640352872842255,5.015653535766121,单调上升,0,0,A,指数型,7.943282347242789e+16
0.6200709735609296,24265347.004991807,480851634.222612,4.950176616706097,4.950176616706097,6.141132639271305,4.9569499107294375,单调上升,0,0,A,指数型,8.91250938133744e+16
0.6200709735609296,25560102.591784995,512194617.20479894,4.893061654146029,4.893061654146029,6.02192214109437,4.899303829158587,单调上升,0,0,A,指数型,1e+17
0.6200709735609296,26923944.024710417,545580605.7885159,4.836947225367997,4.836947225367997,5.9062880209270645,4.842694861338938,单调上升,0,0,A,指数型,1.1220184543019653e+17
0.6200709735609296,28360557.601154633,581142767.6397201,4.781815803128626,4.781815803128626,5.7941181627454075,4.787103057002324,单调上升,0,0,A,指数型,1.2589254117941714e+17
