g,C,Q,N_B,D_B,L,s_Q,s_attn,s_train,n_local,shape,loc_Q,active
指数型,1e+17,0.6200709872657585,0.02556010782959499,0.5121944231908876,4.893061722462882,1.7386819474384307e-07,0.2144951449432276,0.7855046811885777,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,1.333521432163324e+17,0.6200709872657585,0.0291073646548849,0.5997836870750938,4.754613381696797,1.5267922577832974e-07,0.21449514948815934,0.7855046978326148,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,1.778279410038923e+17,0.6200709872657585,0.03314691335156047,0.7023513983640934,4.622148921261837,1.3407251334417375e-07,0.21449515347920955,0.7855047124482771,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,2.3713737056616554e+17,0.6200709872657585,0.03774707468241595,0.8224589882706173,4.495409711481844,1.1773336325127611e-07,0.21449515698387853,0.7855047252827583,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,3.1622776601683795e+17,0.6200709872657585,0.04298565103798957,0.9631059126230763,4.374148300960196,1.0338543238751604e-07,0.21449516006144057,0.785504736553127,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,4.216965034285823e+17,0.6200709872657585,0.04895124229916339,1.1278045576457916,4.258127933436643,9.078605498619098e-08,0.21449516276394634,0.7855047464499987,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,5.6234132519034906e+17,0.6200709872657585,0.055744745030043376,1.3206679383294673,4.147122085527114,7.972213742816713e-08,0.2144951651371033,0.7855047551407592,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,7.498942093324558e+17,0.6200709872657585,0.06348105403741712,1.5465125302290577,4.040914024443773,7.000656077230092e-08,0.21449516722104778,0.7855047627723916,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,1e+18,0.6200709872657585,0.07229102117003798,1.8109781748837235,3.9392963848315823,6.147499694079734e-08,0.21449516905102706,0.785504769473976,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,1.333521432163324e+18,0.6200709872657585,0.08232363224873,2.120669817391786,3.84207076389505,5.3983166402842154e-08,0.21449517065798862,0.785504775358845,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,1.7782794100389228e+18,0.6200709872657585,0.09374860818263868,2.4833203834098585,3.74904733402452,4.740433435714197e-08,0.21449517206911636,0.7855047805265493,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,2.371373705661655e+18,0.6200709872657585,0.10675912959964967,2.907987666501479,3.6600444721655974,4.162726326212863e-08,0.21449517330827028,0.7855047850644663,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,3.1622776601683794e+18,0.6200709872657585,0.1215752665216264,3.405276305281216,3.574888405207967,3.655423132660626e-08,0.2144951743964112,0.7855047890493574,0,单调上升（下角点 $Q=Q_0$）,[],False
指数型,4.2169650342858225e+18,0.6697468817538693,0.15775918941837713,3.127444971822559,3.491937752994901,0.10631032513342523,0.19169212967393645,0.7019975451926384,1,内点极小,[0.6699366582810575],True
指数型,5.623413251903491e+18,0.7219230038582027,0.20006938265472654,2.997551717689847,3.408514926267295,0.18539004288593064,0.174729911203353,0.6398800459107165,1,内点极小,[0.7221768994164297],True
指数型,7.498942093324558e+18,0.7643663306906435,0.2444753121662284,3.0786524406599347,3.326595146586302,0.2333483593890881,0.16444308336522287,0.6022085572456891,1,内点极小,[0.7649189148908252],True
指数型,1e+19,0.8020791047899558,0.29343120604724093,3.2691679433344865,3.247023954351122,0.2672667023616984,0.15716776220813175,0.5755655354301699,1,内点极小,[0.8029118175347323],True
指数型,1.3335214321633241e+19,0.8369297424654506,0.34840848991729534,3.5419191390697327,3.1701931366244347,0.29314592065495737,0.151616794564165,0.5552372847808775,1,内点极小,[0.8361556073481509],True
指数型,1.7782794100389229e+19,0.8698591046893832,0.41070471896764915,3.889426567109315,3.096292049606796,0.31385221360507315,0.14717539448437478,0.5389723919105521,1,内点极小,[0.8693993971615696],True
指数型,2.3713737056616554e+19,0.9014192485078003,0.48164959627915604,4.312207094298025,3.0253998332872025,0.33098907844914444,0.1434996195366728,0.5255113020141827,1,内点极小,[0.900268630559744],True
指数型,3.162277660168379e+19,0.9319664141503057,0.562693218933425,4.815090143301992,2.9575293620490553,0.3455469428731928,0.1403770277540533,0.5140760293727538,1,内点极小,[0.9311378639579184],True
指数型,4.216965034285823e+19,0.9617461685190658,0.6554617427423205,5.405834569923486,2.8926514394203564,0.35818110732160374,0.1376670603482777,0.5041518323301185,1,内点极小,[0.962007097356093],True
指数型,5.6234132519034905e+19,0.9909362020381763,0.7618036690433235,6.094590593652253,2.8307093937427084,0.36934768486163866,0.13527188326386302,0.4953804318744984,1,内点极小,[0.9905017743390232],True
指数型,7.498942093324558e+19,0.9999999777760276,0.8498817656528266,7.415000889867219,2.7718565466741314,0.35809299320155724,0.13768596040251474,0.504221046395928,0,单调下降（上角点 $Q=1$）,[],True
指数型,1e+20,0.9999999777760276,0.932319455660363,9.308476425424178,2.7166081197066045,0.33710346688680404,0.14218811267446854,0.5207084204387274,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.333521432163324e+20,0.9999999777760276,1.0244183867473156,11.650153477888805,2.6647450268083563,0.3163852749181688,0.14663206503640452,0.5369826600454267,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.778279410038923e+20,0.9999999777760276,1.1274835802971992,14.535981608434094,2.616018156559374,0.29602540270604233,0.15099915953686904,0.5529754377570886,0,单调下降（上角点 $Q=1$）,[],True
指数型,2.3713737056616553e+20,0.9999999777760276,1.2430096291960946,18.07990703645708,2.5701979789928613,0.2761091562754541,0.1552710984444774,0.5686197452800685,0,单调下降（上角点 $Q=1$）,[],True
指数型,3.1622776601683794e+20,0.9999999777760276,1.372706123442415,22.416775820147535,2.5270730864976603,0.2567188534387237,0.15943022498507478,0.5838509215762016,0,单调下降（上角点 $Q=1$）,[],True
指数型,4.216965034285823e+20,0.9999999777760276,1.5185306142928605,27.70562084101754,2.4864488425532794,0.2379318066484622,0.16345995601004915,0.5986082373414886,0,单调下降（上角点 $Q=1$）,[],True
指数型,5.6234132519034906e+20,0.9999999777760276,1.6827209814042776,34.13349881133733,2.4481461281484607,0.21981909885420764,0.16734504456918545,0.6128358565766069,0,单调下降（上角点 $Q=1$）,[],True
指数型,7.498942093324558e+20,0.9999999777760276,1.8678370100753074,41.91986836422341,2.4120001765632813,0.20244382111502127,0.17107195793427274,0.6264842209507059,0,单调下降（上角点 $Q=1$）,[],True
指数型,1e+21,0.9999999777760276,2.0768045163425075,51.32171029094628,2.3778594880728887,0.1858599160049952,0.17462912568305086,0.6395109583119539,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.333521432163324e+21,0.9999999777760276,2.312965116582106,62.63951709602289,2.345584817058714,0.17011124252380164,0.17800714027139236,0.651881617204806,0,单调下降（上角点 $Q=1$）,[],True
