ym,t,n,F_p95,F_max,x_front_med,x_top_mean
2024-06,0.032656441442902986,443,30.444178917995092,44.39894388647036,1.8485216407506466,1.773793524711281
2024-07,0.10715599814838991,173,32.026880617596206,44.29736213992491,1.8485216407506466,1.6468520615749602
2024-08,0.1896920579181092,207,40.53850979610468,45.345219749056206,1.8615702521158346,1.8736337604567839
2024-09,0.2786165801022668,459,38.107670867958326,51.23132307602696,1.8485216407506466,1.6595393611144116
2024-10,0.3533538672142369,432,36.914470742216324,47.98045991216864,1.5153969172605857,1.5270302609234732
2024-11,0.4440442594809064,374,38.49347947720043,52.08138397879168,1.8485216407506466,1.5816250445163331
2024-12,0.5335548547105059,571,41.54917837533554,48.10647092442315,1.5153969172605857,1.5379377231582991
2025-01,0.6084715664102297,868,40.245453767984856,46.76723892225559,1.1692628640864462,1.3390328143220958
2025-02,0.6880116160836864,692,41.33420705852266,47.21693789116021,1.1692628640864462,1.2398164977640476
2025-03,0.7453118307976191,342,42.18972135039792,47.09154471380421,1.1692628640864462,1.244742596561663
