ym,n,F_max,F_p99,F_p95,F_med,N_med,t
2024-06,443,44.39894388647036,37.6358362156379,30.444178917995092,18.415461238797384,8.03,0.032656441442902986
2024-07,173,44.29736213992491,42.3135738306545,32.026880617596206,20.106576639387253,8.03,0.10715599814838991
2024-08,207,45.345219749056206,44.3734923306562,40.53850979610468,21.79227783258031,8.03,0.1896920579181092
2024-09,459,51.23132307602696,46.20706489481955,38.107670867958326,21.07486448648852,8.03,0.2786165801022668
2024-10,432,47.98045991216864,41.91331309072233,36.914470742216324,20.08050084217813,8.03,0.3533538672142369
2024-11,374,52.08138397879168,44.793012418819984,38.49347947720043,21.81198910322955,7.616,0.4440442594809064
2024-12,571,48.10647092442315,46.753402240179256,41.54917837533554,24.0523306996218,8.03,0.5335548547105059
2025-01,868,46.76723892225559,42.51215030496271,40.245453767984856,22.629607514774733,7.616,0.6084715664102297
2025-02,692,47.21693789116021,43.34668066742296,41.33420705852266,24.188001040020307,8.03,0.6880116160836864
2025-03,342,47.09154471380421,43.31412261282971,42.18972135039792,23.507019160686035,7.616,0.7453118307976191
