base,instruct,Loss,LB_base,LB_instr,Δ
google/gemma-2-27b,google/gemma-2-27b-it,1.95,23.926167340782825,36.17428251510342,12.248115174320596
google/gemma-2-9b,google/gemma-2-9b-it,2.1,21.20528677610069,32.07276025267082,10.86747347657013
meta-llama/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B-Instruct,1.76,13.626857071686077,23.90873569393684,10.281878622250764
meta-llama/Meta-Llama-3-70B,meta-llama/Meta-Llama-3-70B-Instruct,1.71,26.705350171613343,36.37222412927012,9.66687395765678
Qwen/Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,1.85,38.441143572535815,47.98045991216864,9.539316339632826
Qwen/Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,2.02,31.951062693148973,41.30945747711163,9.358394783962655
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,2.15,26.019159924095096,35.200108659947965,9.18094873585287
Qwen/Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,1.95,38.00796730514634,46.59714569921449,8.58917839406815
Qwen/Qwen2-57B-A14B,Qwen/Qwen2-57B-A14B-Instruct,1.9,25.0338731324107,33.015868823547095,7.981995691136394
01-ai/Yi-1.5-34B,01-ai/Yi-1.5-34B-Chat,1.95,25.64649419429311,33.35799367075618,7.7114994764630715
google/gemma-2-2b,google/gemma-2-2b-it,2.39,10.359615568466916,17.046939294966545,6.6873237264996295
Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,2.58,13.852701161320264,18.430509141644382,4.577807980324119
Qwen/Qwen2-7B,Qwen/Qwen2-7B-Instruct,2.2,23.9251621404824,27.93668778218485,4.011525641702452
Qwen/Qwen2-1.5B,Qwen/Qwen2-1.5B-Instruct,2.63,10.445452935561454,14.141936815181689,3.696483879620235
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,2.81,6.550067614297009,10.107543850719257,3.5574762364222474
01-ai/Yi-34B,01-ai/Yi-34B-Chat,1.9,22.373127018936653,24.226662652803373,1.85353563386672
01-ai/Yi-6B,01-ai/Yi-6B-Chat,2.1,13.611617485376058,14.11765000523676,0.5060325198607014
tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,2.25,5.17344472031948,5.1165739086852,-0.05687081163428065
Qwen/Qwen2-0.5B,Qwen/Qwen2-0.5B-Instruct,2.84,7.224121473565234,6.586780633287707,-0.6373408402775276
tiiuae/falcon-40b,tiiuae/falcon-40b-instruct,2.05,11.40130446230009,10.484506782098748,-0.9167976802013413
google/gemma-7b,google/gemma-7b-it,2.24,15.442818570272308,13.067087110466217,-2.375731459806092
