ym,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO
2024-06,0.6624768946395562,0.6159347335532025,0.1972054380664652,0.37098214285714287,0.45714285714285713,0.4671875
2024-07,0.7292975970425137,0.6397760805415726,0.19833836858006038,0.3521205357142856,0.48141534391534385,0.5130817819148933
2024-08,0.7426987060998149,0.6457906613435166,0.17839879154078495,0.3580357142857143,0.4658730158730158,0.48907912234042517
2024-09,0.7541589648798521,0.6646415552855407,0.23225075528700867,0.35736607142857135,0.45793650793650786,0.524360039893617
2024-10,0.7567467652495379,0.6497830237805936,0.2725075528700906,0.36249999999999993,0.4642857142857143,0.5209441489361702
2024-11,0.7633086876155268,0.6556587398021175,0.36699395770392745,0.36819196428571427,0.4775132275132275,0.5418675199468085
2024-12,0.7495378927911276,0.6535323728519354,0.39841389728096677,0.3783482142857143,0.4808201058201058,0.5409325132978724
2025-01,0.7310536044362292,0.6677660128449923,0.34327794561933533,0.3783482142857143,0.47883597883597884,0.5351978058510638
2025-02,0.7427911275415896,0.6637128970664815,0.4529078549848942,0.37712053571428567,0.48267195767195764,0.5392162566489361
2025-03,0.7567467652495379,0.6748220795000868,0.4842900302114802,0.37723214285714285,0.48988095238095236,0.5461643949468085
