task,front_top20,all_mean,gap,P95_all,headroom
GPQA,0.38515625000000003,0.29730055033867,0.08785569966133006,0.37276785714285715,0.6148437499999999
MATH Lvl 5,0.42904078549848945,0.1131166445757273,0.31592414092276216,0.3762839879154077,0.5709592145015105
MUSR,0.4894841269841271,0.39954589818667485,0.08993822879745222,0.4775132275132275,0.510515873015873
MMLU-PRO,0.5833194813829785,0.319855408923904,0.2634640724590745,0.5376496010638299,0.4166805186170215
BBH,0.7058670369727478,0.4748172289488224,0.23104980802392538,0.661169935775039,0.2941329630272522
IFEval,0.75,0.40184266245458605,0.34815733754541395,0.7486136783733827,0.25
