domain,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,-2.613261132073972,0.6479298505450646,0.23720442188941665,0.4523448454604786,1.71755783618704,0.9462441547337259,0.6271544884515811,0.48755358335824284,0.4237908068934795,1.13761394395091,0.6015160449256846,0.5033382409183818,0.40792524156365717
freelaw,1.1750825744038167,-2.4152936428478067,0.9362085741331948,0.3882347967564355,1.4835673225117365,1.1813606257510176,0.9092862175045701,0.024942059713062133,0.201520245989026,1.434587082659491,0.2930891727670594,0.6932592045707245,0.3952152633517719
nih_exporter,0.13704245376071172,-0.27968345847833515,-0.2422619309853396,-0.09980437446222953,-0.27254185661497937,-0.21627645413863372,-0.18091539155864228,-0.10274090628018033,-0.09581905878617698,-0.18276034551584816,-0.19963509249064657,-0.290042382514205,-0.014576382325562411
pubmed_central,-0.14333602565931197,0.5855121273813828,-2.1227478189317237,0.36559679625929525,1.5445029249644158,1.2309546770041715,0.8693175412093327,0.6418735638551379,0.32873120557334207,1.521816688266706,0.6173526325902159,-0.7209310341061507,0.21761346789423744
wikipedia_en,0.6786956812013094,0.019237669930116646,0.3509758871678364,-2.132046458619318,1.095375055374896,0.7699515097660528,0.549716869370583,-0.03547217219728278,-0.3457720112407642,0.8833637571024041,0.24799504286624074,0.2697508183173493,0.16403544379010832
dm_mathematics,-0.15988181059623502,-0.015396808329309907,0.13788603307197142,0.29343145976963225,-9.6282085004639,-0.0625251995129652,0.14032698719316444,0.26314700836329513,0.1612699064669265,0.2679801429442262,0.1366345813701567,0.12703587211125836,0.06756228982557114
github,0.8143516428025585,0.9167513838673652,0.9532101369527197,0.6954558799412437,1.3985982080916777,-2.357497486616642,-0.5708830061732425,0.6636506897167566,0.5215479083483456,0.9444912782069841,0.417087196058899,1.031347947383185,0.818367576858397
philpapers,-0.2567678386777633,-0.24586060148093059,-0.20100135319735873,-0.21636805662673286,-0.7302159966816464,-0.4419883041916822,-0.3047774713599787,-0.12929726057512053,-0.09144677764373066,-0.5919928967309273,-0.09285688967171414,-0.10316060843687967,-0.13788358045820862
stackexchange,-0.6570956413984921,0.8847285876848238,0.5674041556284818,0.46741152677248254,0.6777196599307498,-1.085289472699207,-2.087809906767103,0.453382759653765,0.19210322922521617,0.8690442118501419,0.06852448632349516,0.7115745490924898,0.48388889947053276
enron_emails,0.041533473857596766,-0.07938275037590704,0.06529904859589618,-0.039691648431214914,-0.21921734855750016,-0.16240040708699383,-0.07145470960077333,-0.0645285498122422,-0.04908654379012052,-0.26076963432464684,-0.06683804487891956,-0.0013370642232939625,0.041361267140544576
gutenberg_pg_19,0.1526561588192592,-0.1687291094338376,0.304510295455374,-0.0781570501891455,0.12556672111224357,0.24849937464299893,0.2792699308947877,-2.3302104073045578,-0.16725301636929696,0.3433872541539065,-0.09480378437549423,0.17606142916556558,0.22930642667543957
pile_cc,0.8302092511627085,-0.1371899183680953,0.9988595759746405,-0.3884193489440985,1.5900848259712344,0.7418320974959199,0.4241890835483803,-0.28807800795901933,-0.8427707538136485,0.8497729617336148,-0.2341238618715213,0.31309335571312474,0.07581034770728476
ubuntu_irc,-0.31788075676396993,-0.06115976485738155,-0.475517575964165,0.0437287475634856,-1.0192947320478343,-1.0223853883145715,-0.5917087408822306,0.04488316547544434,-0.24053695580959183,-7.573434472957755,-0.32019663652047853,0.07764333387479215,0.19400443069335108
europarl,-0.3710560152404091,-0.08099185333126165,-0.6484720392088383,-0.14826107779997752,0.13907668421530558,-0.1405437535106543,-0.12887411469303306,-0.08610962457189286,-0.040501967632624605,-0.9582833774661688,0.040083664972070325,-0.062375585243512735,-0.20919109500856123
hackernews,0.05894617091622202,-0.4801747058290361,-0.24718510822297982,-0.16360535902586235,-0.587669749811843,-0.5009037555418927,-0.5169863570886645,-0.39089144513099394,-0.28279584022551896,-0.44997371089400284,-1.9796264666507757,-0.07294283713727605,0.015639334664029305
pubmed_abstracts,0.09985259551055557,0.4795823576958867,-0.6331221733281379,0.2737161910478584,1.4278000408680382,0.15259680985932184,0.1687422115024221,0.3302308189848755,0.13026038984194396,0.8967258593514661,0.2103176793845625,-2.4098755082133483,-0.27720774295646633
uspto_backgrounds,0.5258723861336713,0.4474219316562218,0.03616279925903523,0.27506557807381526,1.2536396869840267,0.7200142718381178,0.4923686500814097,0.5168177404431213,0.19439420866518442,0.875146073709904,0.3564770090882091,-0.2381970972405353,-2.4724839829579013
