domain,dloss_remove_from_uniform,dloss_pure_domain
arxiv,-0.02680320248070789,0.428851239691328
freelaw,-0.032207756184843284,0.515324098957513
nih_exporter,0.00981664130387827,-0.157066260862039
pubmed_central,-0.023723127574444725,0.3795700411911245
wikipedia_en,-0.012086350394292289,0.19338160630869972
dm_mathematics,0.03977203965674381,-0.6363526345078947
github,-0.030022274733756404,0.48035639574014155
philpapers,0.01704549926225596,-0.2727279881960838
stackexchange,-0.007421830932455187,0.1187492949193043
enron_emails,0.00417480347261634,-0.06679685556184545
gutenberg_pg_19,0.004719913401775244,-0.07551861442839769
pile_cc,-0.018901074026604903,0.30241718442569976
ubuntu_irc,0.054152411333304507,-0.8664385813328721
europarl,0.01296801137180914,-0.20748818194892138
hackernews,0.026923154042285624,-0.4307704646765389
pubmed_abstracts,-0.004075833263136097,0.0652133322101962
uspto_backgrounds,-0.014331024254413016,0.2292963880706047
