cN,cD,eta,Qref,C,g_form,N,D,Q,L,share_quality,tpp,regime
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+19,exp,355758955.7281809,2411950234.097361,0.9185642211617192,2.913405429469689,0.45000959622678727,6.779731599898842,R1 质量内点(Q0<Q*<1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+19,power,441070730.51822156,1486609070.6757467,1.0,2.9382240540630247,0.5797226890104556,3.3704550490781924,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+19,log,244386599.71866196,4461539693.580792,1.0,2.7609467103941037,0.30113534336199227,18.25607336374793,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+19,filter,289558902.3384866,3755174391.299507,0.8533482093934945,2.896735910343931,0.30305587769822,12.968602798852334,R1 质量内点(Q0<Q*<1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+22,exp,4196083104.3361382,329811880996.7654,1.0,2.0324128447515983,0.11296387932669569,78.59994018134321,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+22,power,4262622729.135887,320293771459.6203,1.0,2.033300464402787,0.12490275360654757,75.14007028357159,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+22,log,3769580947.1997256,402633798699.8912,1.0,2.0268422637551575,0.02717610411380718,106.81128866565184,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+22,filter,4636642169.923903,284710094616.59454,0.9637462565405768,2.0466023322873825,0.1538694533448446,61.40437070244461,R1 质量内点(Q0<Q*<1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+24,exp,29831926601.188503,5137800507993.816,1.0,1.8509283745375382,0.017597482384066734,172.22489773051154,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+24,power,29914493193.195393,5111440478400.411,1.0,1.850992072256018,0.01993273199596602,170.86836288314933,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+24,log,29345080771.63273,5297586966644.266,1.0,1.850554466104031,0.0035756505147443167,180.52725797113263,R2 质量饱和(Q*=1)
0.6277594657506654,0.2926851091305434,0.5016486699825865,0.6849235212428202,1e+24,filter,32309524837.70641,4496013221529.126,0.9861887299232898,1.854435729330414,0.0689155396612532,139.15442099854445,R1 质量内点(Q0<Q*<1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+19,exp,456873063.74739635,1554110032.3408487,1.0,2.878271353432203,0.5448985226278764,3.401623242118102,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+19,power,483207475.68893796,1400173366.4922576,1.0,2.8980395147375733,0.5663429764438206,2.8976649512633186,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+19,log,274793341.86965585,4003420684.0378776,1.0,2.736393524598098,0.29487134803207204,14.568841649507071,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+19,filter,318814062.90418637,3269593593.5569954,0.8672910847672487,2.8746026548071697,0.33186815601035796,10.255487363929774,R1 质量内点(Q0<Q*<1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+22,exp,4712054250.005938,296660550074.57776,1.0,2.027734095184897,0.10401444691411489,62.9577959706648,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+22,power,4789014299.585672,287848707335.5114,1.0,2.0286134377954204,0.11642922053738491,60.106044653158584,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+22,log,4277555948.209932,355189680496.3888,1.0,2.0228678177900634,0.026161442466599443,83.03565980125363,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+22,filter,5145745436.791421,257006661089.18863,0.9663550609784456,2.04157491987989,0.1523362625248137,49.94546742472411,R1 质量内点(Q0<Q*<1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+24,exp,33825676036.231472,4538950840350.796,1.0,1.8508416231505707,0.0159143661370128,134.18655211765818,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+24,power,33919702867.501884,4515558804142.752,1.0,1.8509041589532262,0.018264559765567047,133.12495164776522,R2 质量饱和(Q*=1)
0.5364097125419418,0.3608029427187292,0.6017092396392358,0.6611201358770309,1e+24,log,33334396792.089157,4664250935383.611,1.0,1.8505163150833568,0.0034354470075056583,139.9230639892821,R2 质量饱和(Q*=1)
