level,k,E,A,alpha,B,beta,c_N,c_D,RSS,RMSE,BIC,B6fit_B7new_RMSE,LONO_RMSE,dBIC,F_vs_H_U0,p_vs_H_U0
H_U0 经典5参全锚定B1,2,1.6901003689845382,406.4159309684007,0.3400035648518983,411.23061847923384,0.2800612053600644,0.5472149664086705,0.35854540591903145,1.3814174532730554,0.055405925340427375,-2591.5433666448453,0.04536174091550143,0.05959711699733509,78.1420609617353,,
H_U1 仅放开E,3,1.7093345101697464,406.4159309684007,0.3400035648518983,411.23061847923384,0.2800612053600644,0.5222508932149849,0.31145485557041763,1.3206049788029386,0.05417266589963242,-2605.693192500594,0.043814987233597356,0.057888034468601544,63.992235105986765,20.58388126991797,7.343521922442697e-06
"H_U2 放开E,A,B(指数α,β锚定)",5,1.7538450143111288,386.181378912556,0.3400035648518983,370.29031907534204,0.2800612053600644,0.5715489896139624,0.3994402175483076,1.18618738217934,0.051341717544298546,-2641.7802468956256,0.04281861967634603,0.05434964131939161,27.905180710954937,24.413619338142738,1.2101430968414206e-14
H_U3 全放开,7,1.6072028189421221,113.3062851779886,0.2654907054130493,325.4091749756501,0.2715322904154058,0.5224216380552947,0.2718664206817764,1.0850006206477671,0.049103080252957364,-2669.6854276065806,0.04270465744008233,0.05212721379002139,0.0,24.205084191492244,0.0
