Q_score,mean,std,size
0.1,0.01741629833810066,0.05786200547014117,45
0.2,0.0008550752501229534,0.0668539579370797,45
0.3,0.016116278247304806,0.04768857816478245,45
0.4,0.012154046355865126,0.06508489146567564,45
0.5,0.00657616867309736,0.04901591998322304,45
0.6,0.0064900934032986,0.060664326439990236,45
0.7,0.005081680327857886,0.041583781746842866,45
0.8,0.006307408126808293,0.04991082574416372,45
0.9,-0.007268881281314105,0.05267285385465872,45
1.0,0.003545696171729724,0.05509246060519498,45
