domain,L_avg,loss_arxiv,loss_dm_mathematics,loss_freelaw,loss_github,loss_gutenberg_pg_19,loss_hackernews,loss_pile_cc,loss_pubmed_abstracts,loss_pubmed_central,loss_stackexchange,loss_ubuntu_irc,loss_uspto_backgrounds,loss_wikipedia_en
arxiv,0.040268016874596135,-0.18600347526742755,0.05704156001288996,0.06677354392723434,0.07492431155168955,0.05531688783810651,0.04514498230516839,0.04838944483247598,0.057914721204554986,0.022781846564872588,0.06316263652951903,0.0744612689041455,0.041180763206146054,0.049901404534169025
freelaw,0.03751474239094055,0.10244727456336555,0.0751680214476369,-0.23575921310738313,0.08191599225368495,-0.008165764611913318,0.020211761022041586,0.01493894564368059,0.0673481201294015,0.06920776659615235,0.08177596702240741,0.06846031173397371,0.043473004445185204,0.026578267973324188
nih_exporter,0.08567513545935324,0.16355836533786494,0.12424466159946657,0.1049926268539334,0.10329141997849156,0.1323119728704194,0.06374198208181259,0.048568586809929926,-0.20015733946779513,-0.0697530126666388,0.13212442061211238,0.14087263647257586,-0.009521434538108942,-0.01878176359698447
pubmed_central,0.02647586604855956,-0.010481533115841657,0.04930025280910022,0.059962914158187,0.0974024853421751,0.05297183190857879,0.04348013898921632,0.030866376123137584,-0.08009097780286734,-0.16946488830853035,0.08351476756137721,0.07918996259087585,0.01133233230834474,0.027865306313262117
wikipedia_en,0.016450015349980696,0.06823442306378347,0.06182194786161044,0.001959616632030148,0.04291772308458519,-0.003971494564034117,0.01752212814084242,-0.032942047586660195,0.0220876018402425,0.035890760897830276,0.04541835871076838,0.050476921728434654,0.018485572375310788,-0.19236535101717056
dm_mathematics,0.01605258120705244,-0.018694954437676436,-0.31771942941394005,0.04986410896786175,0.05873702671677172,0.0397345585294806,0.019562439984666113,0.03877218195048027,0.06425894260383913,0.0550555870046896,0.03216302955296424,0.06191158530550567,0.04975828656385062,0.04642802485330311
github,0.03735397356684356,0.04660416793561417,0.05114029388913344,0.08062380387505286,-0.21401117685188398,0.05657531060008214,0.028561715237582774,0.058621865631962145,0.10413360390559223,0.076637065189054,-0.0659224761643653,0.03659158900251924,0.08398663390925787,0.07468147943482517
philpapers,-0.03164952779978236,-0.16431742768874757,0.04704207690239737,-0.02144972746878615,-0.03353486277291484,-0.043010053563532935,-0.004143238040267505,-0.036016737603318916,-0.08293157320469735,-0.06867824709617132,-0.13593481303961497,0.0074596287691930385,0.016600571288535093,-0.06637975171765031
stackexchange,0.0015736133448296385,-0.05968792349863161,0.012415613951773485,0.0572703494983422,-0.10989332036195787,0.03357686855329778,-0.006141185639824798,0.015460083857981921,0.07013066433968174,0.04291423296352814,-0.19331980852351727,0.0023602014253683024,0.045170505832049734,0.0368394419380369
enron_emails,-0.05033762071944903,0.49811245857760067,0.1542810268456123,-0.3897876310978514,-0.03240951214916521,-0.28890422394714843,-0.24294491132116036,-0.3672264008298898,-0.20936267984980983,-0.0959547832353751,0.15473105928264896,-0.14402588671346717,-0.12560629615123808,-0.39599100012591215
gutenberg_pg_19,0.030175319995148442,0.07347942107209704,0.060838543331861894,0.018471686116646957,0.07229151367880071,-0.18881627847572258,0.012173842654738642,0.006811961901425967,0.05177593630115407,0.0509334400150081,0.06736505561390249,0.057710155495221294,0.04220732595988075,0.009052822031916818
pile_cc,0.0006037813812058701,0.049736293953360544,0.05782216562342701,-0.0364662439964043,0.025130300673883,-0.0467042826057531,-0.04929203638370705,-0.09380206563783133,0.015531409722287393,0.02708817979167577,0.013181499044911504,0.008609425788169922,0.002231937170880549,-0.056597932280141094
ubuntu_irc,-0.0038161666982476916,0.017988828040092386,0.0966873900174241,0.04152914376909589,0.029187874755533194,0.037468527247995986,-0.004846722505381429,0.016167105793965852,0.06476073167107455,0.03740747206324091,-0.004512242295628965,-0.6157511812571608,0.05973078489385131,0.05711745380173738
europarl,0.026614653893378915,-0.08938822940911972,0.08876632227854642,0.024395455031091196,0.02461320833510605,0.06029088789690107,0.043312814988763826,0.03293912456621495,0.06752457200684958,-0.007829930115992312,-0.01765685943504014,-0.050257621028538146,0.06126530309507405,0.038297975132837614
hackernews,-0.02999828239568103,0.09208048655441203,0.02252969903177804,0.015686849312668727,-0.07113330071409774,-0.07104023623906652,-0.3624204532055524,-0.07178602052583205,0.08627438406031462,0.07477486702197478,-0.07254688641315621,-0.051641832503936946,0.044197611217054344,-0.026119406112615984
pubmed_abstracts,0.014130498761022459,0.028439022809545023,0.05816058790567458,0.053848728276044255,0.04517785339665359,0.03555422790853857,0.021449521111991388,0.023582449414603524,-0.23265704152535527,-0.06430862141776306,0.048318083849365756,0.059313304629139196,-0.007694142327462572,0.029582599855856984
uspto_backgrounds,0.02551013026762483,0.04867352076366771,0.05613000033616067,0.03932868833977121,0.07805088331425392,0.03552038652764633,0.025736371283683113,0.02421069933340103,-0.017326445557233505,0.012213044264870021,0.06581888205003583,0.059772430257485354,-0.22285414907542833,0.03424010337701855
