domain,L_avg,loss_arxiv,loss_dm_mathematics,loss_freelaw,loss_github,loss_gutenberg_pg_19,loss_hackernews,loss_pile_cc,loss_pubmed_abstracts,loss_pubmed_central,loss_stackexchange,loss_ubuntu_irc,loss_uspto_backgrounds,loss_wikipedia_en
arxiv,0.03644121517477749,-0.29089588146864553,0.10419294385164787,0.08059305926212641,0.10246676867009806,0.05122676035309085,0.05189637780285874,0.047135196264032196,0.05770569087290799,0.03698569717979065,0.06522430407581338,0.07297357088377636,0.04192511813278658,0.052306191391816276
freelaw,0.0416311402022406,0.12862621327273205,0.11559378744641166,-0.2912844405529512,0.12581060027602933,-0.01221865259083184,0.018651604772157653,0.01654194344502878,0.07327644420627377,0.10527547555837215,0.09566196281172788,0.08981332879471564,0.03972560071077567,0.035730954478690014
nih_exporter,-0.210287547149951,-0.03511437686408707,-0.4376953232450142,-0.13053150300548932,-0.34991693503045995,-0.04023306387927457,-0.08853747244942278,-0.11835881211310156,-0.4970320683040825,-0.43624668602138483,-0.2486697645021459,-0.1782085038539416,-0.0196547051342749,-0.153538898546726
pubmed_central,0.021946872961051106,-0.006604941960033452,0.09479715096116297,0.05569426664286208,0.12028351935691146,0.05350265646147011,0.051295739630760326,0.031656118275088005,-0.09580120453890831,-0.26543940793224374,0.08732605080097676,0.11341827001409832,0.01375459275400142,0.03142653802752146
wikipedia_en,0.009626962815878402,0.06787668425436404,0.059469907777558846,-0.004355478082602968,0.081098020535621,-0.012017311465179094,0.015653118069557756,-0.04219201750124662,0.024727523667171784,0.04323131290868774,0.05725778034912528,0.06907290209890246,0.013030688520879588,-0.24770261452642173
dm_mathematics,-0.13203666703742215,-0.04150656574306887,-1.791212577210526,0.022576270651959256,-0.03411430253596206,0.039145686350003706,0.01287954752263841,0.025030267411454928,0.012535646037165806,-0.019566700693140242,-0.0036015006951048106,0.012663172116733193,-0.0007876161332157788,0.049482001434574485
github,0.04143203065889524,0.09350528556950129,0.10361136563235623,0.09890471058426127,-0.2838824118655523,0.06407228628538221,0.03733814983830768,0.05980034258459426,0.10987417994331185,0.10547467390938388,-0.0717255759800514,0.05558279915491344,0.08451168518764315,0.08154890772158646
philpapers,-0.3219480154675183,-0.46990805255452667,-0.9290013227491463,-0.23440392555981912,-0.5224476530042051,-0.058891720245696756,-0.02128015350541647,-0.07610458349702055,-0.14571382751447493,-0.3013220567584603,-0.336725052828476,-0.6633075812926015,-0.19385983264922976,-0.2323584389186897
stackexchange,-0.004009987220325414,-0.06533305410524474,0.023336517012983626,0.08101601480087313,-0.1365909451279029,0.03527930972806364,-0.010394617398747925,0.015306894706913807,0.06985850726215301,0.06181352390234391,-0.24894217969181456,0.03176439057726542,0.04871209561836339,0.04204370885051986
enron_emails,-0.5137186501101221,0.26290984021182173,-1.1538681020289563,-1.0295837508503682,-1.027543356987981,-0.5664978345732865,-0.5064020840048102,-0.4428755689327782,-0.03795526474636813,0.4158265185022945,-0.350553563847406,-2.013839163453012,0.2592517545727848,-0.48721187529351545
gutenberg_pg_19,-0.02478529441318804,0.027559960651277162,-0.033717033223728606,-0.049761457036323425,0.036990140892166054,-0.33439095904395144,-0.028396446573600968,-0.024977389841231948,0.013017361120473298,0.011229445754285665,0.051393407743254405,0.014065709110836775,0.016810829833609636,-0.02203239675851564
pile_cc,0.013845667873205481,0.09741281591964028,0.08745842957364214,-0.024207207808699782,0.07478182690054089,-0.050690613670534346,-0.050032135482683524,-0.10495337701332871,0.027773863052343292,0.09966586109653078,0.03753521250816906,0.04055286341609138,0.0008498094841977666,-0.05615366562423459
ubuntu_irc,-0.1802672096861023,-0.03848361814612779,-0.13206877602690473,-0.054773023639395714,-0.12320848328010288,0.02240501765853126,-0.053915824176213864,-0.05587770022482762,0.029401514031184427,-0.0996111288716854,-0.09428393325958492,-1.8111943931658778,0.06018792150562339,0.00794870167605212
europarl,-0.08263515243095608,-0.0825065554138834,-0.004272996592498804,-0.10587180174018107,-0.11090434096091792,-0.017954975269051016,0.025034236442572057,0.0018249169331596693,-0.03423875115362549,-0.21690437755877734,-0.06281897283197478,-0.3794811555660107,-0.07750411840407502,-0.00865808948716692
hackernews,-0.19721637086398341,-0.0558250142754951,-0.3270933763348523,-0.21061078709206327,-0.17656245790538871,-0.1880137207743587,-0.8779505401871407,-0.12597436035751133,-0.012752685554951477,-0.09479858147371183,-0.19782597410180822,-0.2144801735648985,-0.014865677486686253,-0.06705947212291627
pubmed_abstracts,-0.008235459833135431,0.014864014801015046,0.06698971140623712,0.05843050021507344,0.011439125944174903,0.03259482767887488,0.01765621324102985,0.01465757181560612,-0.3008729594531331,-0.10244467206884618,0.02211192024913443,0.06834340373879012,-0.035501448923864275,0.02467081352514716
uspto_backgrounds,0.012908407937460939,0.05125981378889584,0.07952444510127157,0.04057814392222377,0.09546076270026721,0.04220745915122498,0.025288949171881462,0.018429913934532662,-0.031062447864932768,0.015886043719829043,0.05662217970528746,0.040369103998844996,-0.29739826833619726,0.030643204193865813
