score,set,domain,n_docs,mean_doc,ci95_low,ci95_high,median_doc,trimmed_mean_10,token_weighted_mean,P10,P90,share_Q_ge_0.6
Q_lin,A1,arxiv,1419.0,0.8403073423618996,0.8386519618980514,0.8420694471816964,0.8451794159409771,0.84347778009747,0.8400680507394569,0.80519462902559,0.8733921838936198,0.9985905567300916
Q_lin,A1,book,171.0,0.7443521270644312,0.7366328755311375,0.752805119760288,0.7478606419220738,0.7455360125825587,0.743192421974094,0.6722342855140788,0.8113717083187307,0.9883040935672515
Q_lin,A1,c4,10000.0,0.7318583146134165,0.730154214623534,0.7334369823344238,0.7402253745818896,0.7360981909891373,0.7732628004496254,0.6240407167733404,0.8282940670921084,0.9323
Q_lin,A1,commoncrawl,9640.0,0.7424964442560332,0.7412059239735548,0.7439661358949916,0.7463426228426122,0.7453893911339571,0.766670816440577,0.6506929192328493,0.8328374448033024,0.9646265560165975
Q_lin,A1,github,10000.0,0.5688365133138233,0.5669637526842654,0.5706975965417408,0.5762665788528673,0.5716691509616134,0.6312443152766537,0.4417195467919092,0.6788540343396031,0.3908
Q_lin,A1,stackexchange,10000.0,0.7059433320015731,0.7048111854047788,0.7071785217987555,0.7087612301162896,0.7075859369574478,0.7245599197655647,0.627914490967648,0.7816504965030767,0.9503
Q_lin,A1,wikipedia,10000.0,0.6445593642908796,0.6427740101648487,0.646378454964751,0.6475978618518115,0.6474154779185087,0.722756394590641,0.5328595869052508,0.7521701979575228,0.7113
Q_lin,A2,arxiv,17523.0,0.8402010720747126,0.8396957854547323,0.8407132969242613,0.8450737681035128,0.8434668242628176,0.8400661800720077,0.8053940548083078,0.8726798603692546,0.9981167608286252
Q_lin,A3,github,203752.0,0.5676441986393568,0.5672225108815839,0.5679948008657959,0.5747651033126853,0.5703228442372305,0.6274307885715517,0.44106802261252775,0.6786568045613454,0.38273489339981936
Q_equal,A1,arxiv,1419.0,0.8680299563649678,0.8654714873197212,0.8702784010733401,0.8756676935435748,0.8730217686668369,0.8688741045014391,0.8177973477968218,0.9122006843431618,0.9985905567300916
Q_equal,A1,book,171.0,0.7654792898792142,0.7566150274341277,0.7752126219272969,0.7681298323693536,0.7670763118778732,0.7713150452384664,0.6789922225421097,0.8473452970712698,0.9883040935672515
Q_equal,A1,c4,10000.0,0.6925306356206508,0.6906558218102827,0.6941539448712413,0.701689635463576,0.6966022683728595,0.7411127568386139,0.5614669509133804,0.8095344416139187,0.8323
Q_equal,A1,commoncrawl,9640.0,0.7371290918133452,0.7353778831656638,0.7386262283648917,0.7387641403612899,0.7394721938877111,0.7630518759285019,0.6398813138818044,0.8385270657841521,0.9498962655601659
Q_equal,A1,github,10000.0,0.5334902866091465,0.5314348902333046,0.5359670359265731,0.541043570158112,0.5368859954824503,0.6074588245078866,0.3775004244576553,0.6693900380142078,0.282
Q_equal,A1,stackexchange,10000.0,0.70601996444025,0.7045485252030745,0.7074270639493677,0.7111043135881228,0.7086615577829264,0.7290178921403317,0.6114691327873976,0.794413148900197,0.922
Q_equal,A1,wikipedia,10000.0,0.6464049432522104,0.6446826164815674,0.6482593733912422,0.646364227196808,0.6475017896638741,0.7296226808101649,0.5281255946477443,0.7640574263578698,0.6958
Q_equal,A2,arxiv,17523.0,0.8682114194266123,0.8675996297573628,0.8689004891056644,0.8762959004474373,0.873324122735977,0.8692187471276177,0.8182051899238743,0.91135818087023,0.9980026251212691
Q_equal,A3,github,203752.0,0.5325221113875198,0.5320247661691814,0.5330359545509767,0.540269442998702,0.5357912870095741,0.6032551770923912,0.37690010721458156,0.6690877708467634,0.27707212689936783
Q_topsis,A1,arxiv,1419.0,0.7552084138090106,0.7534847482900454,0.756973433506734,0.7573040450948423,0.7566500956508045,0.7531857341135055,0.7190613052431407,0.7897346559576314,0.9964763918252291
