scale,optimum,L1_to_top10_mean,L1_ref_to_top10,spearman_with_top10
test_1M,p_opt_quadratic,1.252572636136668,0.475693941508841,-0.37500000000000006
test_1M,p_opt_log_share_M6,0.53054217013659,0.475693941508841,0.43627450980392163
test_1M,p_opt_ensemble_top100,0.36635040291550847,0.475693941508841,0.7230392156862746
test_60M,p_opt_quadratic,1.3065790058771698,0.47687686555314934,-0.35784313725490197
test_60M,p_opt_log_share_M6,0.501000151514612,0.47687686555314934,0.45098039215686275
test_60M,p_opt_ensemble_top100,0.33298626508542956,0.47687686555314934,0.7818627450980392
test_1B,p_opt_quadratic,1.4767261484296632,0.4114973275688348,-0.4803921568627451
test_1B,p_opt_log_share_M6,0.5582253461193871,0.4114973275688348,0.6691176470588236
test_1B,p_opt_ensemble_top100,0.38852194136713236,0.4114973275688348,0.8799019607843139
est_10B,p_opt_quadratic,1.4561079799440368,0.5915371845998456,-0.20098039215686278
est_10B,p_opt_log_share_M6,1.0435364724257359,0.5915371845998456,0.19607843137254904
est_10B,p_opt_ensemble_top100,0.782164123046584,0.5915371845998456,0.6053921568627452
est_70B,p_opt_quadratic,1.5185706426066994,0.5898841230641552,-0.20833333333333337
est_70B,p_opt_log_share_M6,1.0437368728261363,0.5898841230641552,0.1985294117647059
est_70B,p_opt_ensemble_top100,0.7753679268503879,0.5898841230641552,0.607843137254902
