N_B,D_B,Q,L,irreducible_share,param_share,data_share,elasticity_N,elasticity_D,elasticity_Q,sub_ratio_N_over_Q
0.4,8,0.55,1.4022854220733842,3.237566996417476e-05,0.4821875882933819,0.517780036036654,-0.13789373971077604,-0.146751370582515,,
1.0,20,0.55,1.0803526970947124,4.202324865084432e-05,0.48159932887442497,0.5183586478769242,-0.1377255120475814,-0.14691536315597317,,
7.0,140,0.55,0.6208988384688442,7.311968908265159e-05,0.4803451626820522,0.5195817176288652,-0.13736685149578828,-0.14726201067021347,,
12.0,300,0.55,0.5156215143061228,8.804894435352751e-05,0.495793951320309,0.5041179997353374,-0.14178482344498416,-0.14287921945148077,,
