N,D,spearman_Q_L_B8,n_Q,type
300.0,20,0.9823619317924353,12,extrapolated
300.0,50,0.9823619317924353,12,extrapolated
300.0,100,0.9823619317924353,12,extrapolated
300.0,150,0.9823619317924353,12,extrapolated
300.0,300,0.9823619317924353,12,extrapolated
300.0,500,0.9823619317924353,12,extrapolated
300.0,1000,0.9823619317924353,12,extrapolated
300.0,2000,0.9644013324700096,12,extrapolated
700.0,5,0.9823619317924353,12,extrapolated
700.0,10,0.9823619317924353,12,extrapolated
700.0,20,0.9823619317924353,12,extrapolated
700.0,50,0.9823619317924353,12,extrapolated
700.0,100,0.9644013324700096,12,extrapolated
700.0,150,0.9644013324700096,12,extrapolated
700.0,300,0.9644013324700096,12,extrapolated
700.0,500,0.9644013324700096,12,extrapolated
700.0,1000,0.9644013324700096,12,extrapolated
700.0,2000,0.9644013324700096,12,extrapolated
