C_FLOPs,law,N_opt_B,D_opt_B,tokens_per_param,L_opt
1e+19,本文,0.22790499962689573,7.3129886110229005,32.087881454970386,2.9857534220768005
1e+19,Chinchilla,0.22795591097472975,7.311355338583111,32.07355013221665,2.9857405963148667
1e+20,本文,0.6447899943097622,25.848209205709026,40.08779514852605,2.599848567035335
1e+20,Chinchilla,0.6448575089987315,25.845502974052287,40.079401438904746,2.5998497468543653
1e+21,本文,1.8242431602756248,91.36208938367899,50.08218825930809,2.3288838626685804
1e+21,Chinchilla,1.8242176968955524,91.36336466327427,50.08358641556659,2.328882940154319
1e+22,本文,5.161158109121752,322.9249388273972,62.56830967000693,2.1386248647488126
1e+22,Chinchilla,5.160473684851609,322.9677677766498,62.58490741357919,2.1386140845028567
1e+23,本文,14.601975003885203,1141.3981096551736,78.16737868346422,2.0050337153995637
1e+23,Chinchilla,14.598306275268362,1141.6849566242083,78.20667241092121,2.005010128092831
1e+24,本文,41.31198260275163,4034.342003609521,97.6554924125285,1.9112321324017425
1e+24,Chinchilla,41.29670241941515,4035.834749563692,97.72777275471499,1.911195419914262
1e+25,本文,116.88007314873161,14259.630591998424,122.00223877215437,1.845368959461337
1e+25,Chinchilla,116.82297922512782,14266.599582731564,122.12151819239786,1.8453201291884438
