model,N_B,D_B,loss_B10_est,classic_pred,Psi_hat
Hunyuan-Large,389.0,7000.0,1.8403,1.8404862290575916,0.9987641432993393
Arcee Trinity Large,398.0,555.3,1.9471,1.9475861068396092,0.9981143162670741
Llama 4 Maverick,400.0,30000.0,1.8051,1.8052254723010102,0.9989129771404596
Hermes 3 405B,405.0,0.3,3.4691,3.473056249798949,0.9977814487613363
Llama 3.1-405B,405.0,15600.0,1.8188,1.8189408944696392,0.9989090033159169
MiniMax-M1-80k,456.0,7500.0,1.8359,1.83604450707481,0.9990118938380116
MiniMax-M1-40k,456.0,7500.0,1.8359,1.83604450707481,0.9990118938380116
MiniMax-Text-01,456.0,7200.0,1.837,1.8372175954691556,0.9985239718745452
Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1.8352811623001362,0.9987547541772405
Arctic,480.0,133.1,2.0479,2.048704509596126,0.997758442450566
Doubao-pro,500.0,8350.0,1.8315,1.8316611835004568,0.9988638102115033
Microsoft MAI-1 (2024 unreleased),500.0,5.3,2.5084,2.5103068819095653,0.997675976517003
MegaScale (530B),530.0,300.0,1.9824,1.9830791895665236,0.9976841693545792
MegaScale (Production),530.0,1226.4,1.9008,1.9012217453389912,0.9980052129985922
Megatron-Turing NLG 530B,530.0,270.0,1.9899,1.9906006598451653,0.9976706993032373
U-PaLM (540B),540.0,1.3,2.8812,2.8839814212578228,0.9976708592597169
Flan-PaLM 540B,540.0,1.4,2.8576,2.8603235213117006,0.9976732490987055
Minerva (540B),540.4,26.0,2.2285,2.229797809689366,0.9975966478763899
PaLM (540B),540.4,780.0,1.9234,1.9238284318511019,0.9981693327328707
LongCat-Flash,560.0,23000.0,1.8055,1.8055819014858359,0.9992926349450585
Hunyuan-TurboS,560.0,16000.0,1.8134,1.8135578370187402,0.9987246507223801
SenseChat 5.0,600.0,1835.0,1.8811,1.8814147834324308,0.9983572241074498
GShard (600B),600.0,1000.0,1.909,1.9094506101089594,0.9979485328731765
DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1.9108836731271022,0.998264595250903
DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1.916985671669507,0.9978622446106433
DeepSeek-V3.1,671.0,840.0,1.9165,1.9169228502254385,0.9981382476421281
DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1.8129242810248574,0.9989906214674654
