id,domain,fineweb_edu,fluency_en,modernbert_cleanliness,modernbert_readability,modernbert_reasoning,modernbert_professionalism,dsir_books,dsir_wiki,dsir_math,qurater,ad_en,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
BkiUdUA4uzlhdExj6rei,arxiv,1.7753937244415283,-0.103515625,-0.6505724589029948,-0.5818684895833334,-0.5738932291666666,-0.07584635416666667,-19912.79877035,-19563.10639799,-13257.3021264,5.462890625,0.08984375,3760.0,239.0,5.92058198,30.319148936170215,26.002149207072847,0.8925535532131927,0.4335260115606936,25.888720929979442,45.92274678111588,5.032423526536242,6.257446808510639
BkiUbQDxaJJQnMsbyfaU,arxiv,2.434403657913208,0.0087890625,-0.4794108072916667,-0.4903971354166667,-0.3538411458333333,-0.07975260416666667,-24993.01123316,-24563.3188041,-18389.19685119,4.09423828125,0.25390625,4888.0,416.0,5.90765878,23.670212765957448,25.43763236200843,1.9333146539646962,0.7355001400952648,25.034714804620645,41.509433962264154,3.936833120534268,5.841243862520458
BkiUdR45qoTA0iwhHP8W,arxiv,1.7384848594665527,-0.1748046875,-0.451171875,-0.4251302083333333,-0.390625,-0.02734375,-108564.96168152,-108190.16638617,-64507.64101566,5.0556640625,0.166015625,9420.0,686.0,6.20243508,22.34607218683652,35.98858300741887,0.9983992606894732,1.17992639899665,17.976010198962186,31.360201511335013,3.7005489057236183,6.4328025477707005
BkiUe8E5qhLBirRk21mp,arxiv,0.7890319228172302,-0.1533203125,-0.494384765625,-0.4532877604166667,-0.3986002604166667,-0.01025390625,-34476.666026,-34739.50668311,-21609.73691463,4.55419921875,0.3134765625,3662.0,187.0,5.78992466,25.36865101037684,34.52027695351137,0.6441702591546504,1.1446409989594173,7.493303461888503,19.855595667870034,9.162265130213541,5.5109229929000545
BkiUdTw5qoYAnrRn_V3m,arxiv,1.2096196413040161,-0.1875,-0.5042317708333334,-0.63037109375,-0.34765625,0.0400390625,-105044.93126056,-105086.14259204,-65772.2154212,4.52752685546875,0.2958984375,8599.0,401.0,6.26146846,21.95604140016281,39.78566559793997,0.5110279838923979,0.5437337748615114,7.667077278443651,13.649182177100958,2.6069585570459455,5.689149901151296
BkiUdbI5qWTBJKvQ8Qse,arxiv,3.359677314758301,-0.0615234375,-0.5930379231770834,-0.5105794270833334,-0.4607747395833333,-0.103515625,-32763.74438516,-32556.06308321,-21090.44393074,5.20849609375,0.095703125,3890.0,243.0,5.795468,27.557840616966583,27.43185578681529,2.786546630811801,0.5300284500565103,8.212504156202412,14.306151645207441,3.318109599584683,6.596143958868895
BkiUdPTxK7kjXIdG-o9r,arxiv,2.387205123901367,-0.091796875,-0.3378092447916667,-0.4957682291666667,-0.42333984375,-0.09830729166666667,-19386.23683864,-18898.87898024,-14484.16316463,5.35205078125,0.29296875,3022.0,165.0,5.6957194,29.516876240900064,26.17002127311406,1.023541453428864,0.9050261272423638,17.3231616496245,41.7624521072797,2.4976649309652577,6.142620780939775
BkiUdiY5qoYAnrRn_iOl,arxiv,1.7372997999191284,-0.1953125,-0.474853515625,-0.4581705729166667,-0.39453125,0.017578125,-161279.9866965,-160078.93444122,-98876.34115102,4.295166015625,0.2099609375,11033.0,631.0,6.09470818,18.87972446297471,38.23131161346785,0.49814972957586107,0.5951918846880417,5.228880024985032,17.10914454277286,2.673032691307311,7.004985044865403
BkiUcfPxK2li-F6JyJV0,arxiv,1.6847182512283325,-0.1376953125,-0.9840494791666666,-0.6822916666666666,-0.4290364583333333,-0.22591145833333334,-9402.39962793,-9171.90272207,-7470.33355028,4.29736328125,0.2763671875,1734.0,78.0,5.43603338,33.33333333333333,23.71279330072133,1.3952989159600728,1.1269722013523666,11.405128542346606,16.591928251121075,1.3702816865005008,5.373125720876586
BkiUd_o5qoTBG7-YOJux,arxiv,2.9177513122558594,-0.0947265625,-0.5282796223958334,-0.3688151041666667,-0.3551432291666667,-0.051432291666666664,-34721.90592979,-34738.75662717,-21794.9842179,3.795166015625,0.287109375,4070.0,313.0,5.75347885,27.174447174447174,30.822704645203103,1.2135922330097086,0.4936646371564917,22.46666098821037,32.01970443349754,4.152873219847354,5.9724815724815725
BkiUeC44eIOjR-dm53Ty,arxiv,2.0216922760009766,0.287811279296875,-0.5172322591145834,-0.4593098958333333,-0.3712565104166667,-0.076171875,-30479.40820261,-29628.08626605,-20724.55851774,1.214813232421875,0.0087890625,6542.0,547.0,6.24912758,25.649648425557935,28.24674695056916,0.39445657033160647,0.2366739421989639,25.99251406578333,48.006379585326954,5.883315527740356,5.812748394986243
BkiUdVM5qrqCyw_JguRq,arxiv,0.47376319766044617,-0.083984375,-1.8833821614583333,-0.9325358072916666,0.15819295247395834,-0.3693033854166667,-430.97976017,-418.9350663,-421.40335796,1.5166244506835938,0.27734375,42.0,2.0,3.42814825,80.95238095238095,18.84498480243161,6.569343065693431,0.0,31.281433226958132,37.5,1.7948717948717952,6.523809523809524
BkiUaRLxK0iCl4WD1sCf,arxiv,2.250405788421631,-0.1083984375,-0.6708170572916666,-0.6572265625,-0.4558919270833333,-0.10546875,-69161.97233412,-68850.23945842,-43741.62009377,3.492218017578125,0.232421875,3765.0,454.0,5.98451478,29.694555112881805,42.88082477972568,0.7373815580872323,1.4010249603657412,9.135605069781526,14.850530376084862,7.45730525776626,7.20398406374502
BkiUcNDxaKPQoka4RLRN,arxiv,1.3445671796798706,-0.21484375,-0.6184488932291666,-0.6189778645833334,-0.3802083333333333,-0.0380859375,-32914.72512272,-32664.42269799,-20368.74211284,4.7529296875,0.2646484375,1582.0,152.0,5.86099457,43.173198482932996,44.70520892959359,0.4721435316336166,0.22662889518413595,15.739907366699802,31.896551724137932,7.211433498900699,6.694058154235146
BkiUdHfxaJJQnMsbzlOu,arxiv,1.7953226566314697,-0.123046875,-0.292236328125,-0.4514973958333333,-0.37744140625,-0.0419921875,-23523.31626845,-23635.05502083,-19379.2562946,4.67626953125,-0.0185546875,5263.0,353.0,5.53269786,18.050541516245488,22.137363668033345,2.383935525380109,2.360231621008432,32.77888255111579,58.18181818181818,1.2017270935569757,5.611058331749953
