ym,all,o,p,c
2024-06,35.63637643874132,32.94147900728939,23.208443241733388,35.41034642274853
2024-07,37.95466153538064,34.29387775458088,24.380389148277153,37.836710960725746
2024-08,42.760532709039666,39.43512145118267,25.21241549592383,42.760532709039666
2024-09,45.472822323490476,43.73531761550065,27.895551542283577,45.472822323490476
2024-10,45.81530717708641,44.39304740883186,28.336620508721218,45.81530717708641
2024-11,46.837604725500675,44.50093772238981,28.706639942058796,46.837604725500675
2024-12,47.92687397162745,46.641436779729,30.3609613032908,47.92687397162745
2025-01,47.94692258908794,46.71061821933629,30.61774210222245,47.94692258908794
2025-02,47.99619799213168,46.80420412644149,30.61774210222245,47.99619799213168
2025-03,48.02091794286115,46.88862046847156,30.93859605311253,48.02091794286115
