Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
Nexusflow/NexusRaven-V2-13B,2024-06-12,13.0,8.488064786804268,8.91872237129147,finetuned,False,other,17.90781792311068,15.336448395229596,2.9456193353474323,1.342281879194629,3.7109375,9.685283687943262,
togethercomputer/GPT-NeoXT-Chat-Base-20B,2024-06-12,20.0,5.140295456712411,5.002593989262589,finetuned,True,apache-2.0,18.297561581049397,6.830794983137852,2.3413897280966767,0.0,1.7578124999999991,1.6142139479905429,
togethercomputer/GPT-JT-6B-v1,2024-06-12,6.0,6.877706827738106,7.295477827627458,finetuned,True,apache-2.0,20.61064641817045,7.318523965141613,1.0574018126888218,1.45413870246085,3.873697916666666,6.951832151300234,
Intel/neural-chat-7b-v3-2,2024-06-12,7.0,21.471411168582197,22.676099771597983,finetuned,True,apache-2.0,49.88397452093778,30.237457969159426,4.758308157099698,5.369127516778524,20.05677083333333,18.522828014184395,
teknium/OpenHermes-7B,2024-06-12,7.0,9.569248719177576,11.839711910328141,finetuned,True,mit,18.12513021006485,12.08139546207365,1.5861027190332326,2.572706935123044,12.681510416666669,10.368646572104018,
HuggingFaceH4/zephyr-7b-beta,2024-06-12,7.242,17.792237227370464,17.19238649947736,chat,True,mit,49.50431521695767,21.487542182806735,2.8700906344410875,5.369127516778524,7.7343749999999964,19.78797281323877,
01-ai/Yi-9B-200K,2024-06-12,8.829,17.72955178611439,20.74274156571484,pretrained,True,apache-2.0,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,
teknium/OpenHermes-2-Mistral-7B,2024-06-12,7.0,21.44047612236278,21.528280324687227,chat,True,apache-2.0,52.86151854856226,29.251839211223317,4.531722054380665,4.4742729306487705,16.064062499999995,21.4594414893617,
teknium/OpenHermes-13B,2024-06-12,13.0,12.182264325006637,13.105821346345545,finetuned,True,mit,26.680651781716957,18.21332824040884,1.2084592145015105,3.0201342281879207,8.532552083333334,15.438460401891252,
togethercomputer/LLaMA-2-7B-32K,2024-06-12,7.0,6.8377158675946506,7.0890824960727326,finetuned,True,llama2,18.649738250065383,8.089984229889549,1.4350453172205435,0.0,4.320572916666666,8.530954491725769,
teknium/OpenHermes-2.5-Mistral-7B,2024-06-12,7.242,21.317189027423066,20.517633509244664,chat,True,apache-2.0,55.71417173100706,27.770026367807574,5.060422960725076,4.4742729306487705,12.058072916666667,22.826167257683213,
togethercomputer/Llama-2-7B-32K-Instruct,2024-06-12,7.0,8.25854218578891,9.127383745984691,finetuned,True,llama2,21.300039450879225,8.563469919446954,1.5861027190332326,0.2237136465324418,9.199218750000002,8.678708628841607,
01-ai/Yi-6B-Chat,2024-06-12,6.061,14.11765000523676,14.390807653304927,chat,True,apache-2.0,33.95213588833185,17.00016656742376,1.3595166163141994,5.92841163310962,3.5656250000000003,22.90004432624113,
