_dir,_model,leaderboard,leaderboard_bbh,leaderboard_bbh_boolean_expressions,leaderboard_bbh_causal_judgement,leaderboard_bbh_date_understanding,leaderboard_bbh_disambiguation_qa,leaderboard_bbh_formal_fallacies,leaderboard_bbh_geometric_shapes,leaderboard_bbh_hyperbaton,leaderboard_bbh_logical_deduction_five_objects,leaderboard_bbh_logical_deduction_seven_objects,leaderboard_bbh_logical_deduction_three_objects,leaderboard_bbh_movie_recommendation,leaderboard_bbh_navigate,leaderboard_bbh_object_counting,leaderboard_bbh_penguins_in_a_table,leaderboard_bbh_reasoning_about_colored_objects,leaderboard_bbh_ruin_names,leaderboard_bbh_salient_translation_error_detection,leaderboard_bbh_snarks,leaderboard_bbh_sports_understanding,leaderboard_bbh_temporal_sequences,leaderboard_bbh_tracking_shuffled_objects_five_objects,leaderboard_bbh_tracking_shuffled_objects_seven_objects,leaderboard_bbh_tracking_shuffled_objects_three_objects,leaderboard_bbh_web_of_lies,leaderboard_gpqa,leaderboard_gpqa_diamond,leaderboard_gpqa_extended,leaderboard_gpqa_main,leaderboard_ifeval,leaderboard_math_hard,leaderboard_math_algebra_hard,leaderboard_math_counting_and_prob_hard,leaderboard_math_geometry_hard,leaderboard_math_intermediate_algebra_hard,leaderboard_math_num_theory_hard,leaderboard_math_prealgebra_hard,leaderboard_math_precalculus_hard,leaderboard_mmlu_pro,leaderboard_musr,leaderboard_musr_murder_mysteries,leaderboard_musr_object_placements,leaderboard_musr_team_allocation,G_leaderboard_bbh,G_leaderboard_math_hard,G_leaderboard_gpqa,G_leaderboard_musr,G_leaderboard,leaderboard_arc_challenge
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v3,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v3,58.94409132183163,64.67627148064572,87.2,60.962566844919785,67.60000000000001,64.0,73.2,48.8,68.8,62.8,63.6,91.2,73.2,72.8,50.4,65.06849315068493,82.0,79.60000000000001,61.199999999999996,76.40449438202246,78.0,87.6,24.8,24.0,32.800000000000004,58.8,38.171140939597315,39.39393939393939,37.91208791208791,37.94642857142857,73.02861961816868,41.616314199395774,65.79804560260585,38.21138211382114,29.545454545454547,18.928571428571427,39.61038961038961,62.17616580310881,21.48148148148148,53.93949468085106,48.01587301587302,55.2,40.625,48.4,64.78481476573447,39.393070083633255,38.41748529248529,48.074999999999996,53.241285655755256,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v5,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v5,58.1528084057595,64.46797431001562,90.4,61.49732620320856,68.8,69.19999999999999,68.4,55.2,80.80000000000001,62.4,60.0,92.4,69.19999999999999,68.8,47.199999999999996,69.86301369863014,78.8,82.39999999999999,58.8,75.84269662921348,75.6,83.6,20.8,18.8,32.0,61.199999999999996,36.241610738255034,35.35353535353536,35.16483516483517,37.94642857142857,75.44409943394636,43.58006042296073,69.05537459283387,42.27642276422765,25.757575757575758,17.142857142857142,46.103896103896105,64.24870466321244,26.666666666666668,51.404587765957444,44.576719576719576,61.199999999999996,25.390625,47.599999999999994,64.66679318879385,41.60735681303852,36.15493302993303,44.73020833333333,52.61917537464246,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v6,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v6,58.68465430016864,64.46797431001562,87.2,60.962566844919785,67.2,64.0,73.2,48.4,68.4,61.6,63.2,91.2,72.39999999999999,72.8,50.0,65.75342465753424,81.2,80.80000000000001,60.4,74.71910112359551,78.4,86.8,26.0,24.8,31.2,59.199999999999996,37.75167785234899,38.88888888888889,37.362637362637365,37.723214285714285,73.03360638660975,39.577039274924466,62.866449511400646,30.081300813008134,25.757575757575758,17.857142857142858,40.25974025974026,61.6580310880829,21.48148148148148,53.922872340425535,47.61904761904761,54.800000000000004,40.234375,48.0,64.57646219275206,37.137388824061716,37.99158017908018,47.678125,52.72870296389532,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v7-rebase,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v7-rebase,58.43818912958879,64.03402187120292,88.8,64.1711229946524,68.0,62.4,72.8,48.8,78.8,61.6,60.0,93.2,73.2,70.39999999999999,50.8,69.17808219178082,78.0,83.6,58.8,72.47191011235955,72.0,80.80000000000001,22.8,22.8,29.599999999999998,58.4,37.5,36.36363636363637,39.1941391941392,35.9375,71.05524452896094,34.06344410876133,58.63192182410424,30.081300813008134,16.666666666666664,14.642857142857144,29.22077922077922,52.84974093264248,17.77777777777778,52.76761968085106,48.80952380952381,57.99999999999999,39.84375,48.8,64.22587980411636,31.41014919683366,37.16509185259185,48.88125,51.37164233321667,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v8,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8,59.047866130496814,64.50269050512064,88.0,63.63636363636363,68.0,62.8,73.2,46.800000000000004,72.8,61.199999999999996,61.6,92.4,74.8,72.0,46.800000000000004,65.06849315068493,83.2,83.2,61.6,76.40449438202246,77.60000000000001,84.0,25.6,23.599999999999998,31.6,55.60000000000001,38.6744966442953,38.38383838383838,40.10989010989011,37.05357142857143,75.14810702269976,41.69184290030212,64.16938110749186,39.83739837398374,26.515151515151516,20.714285714285715,44.15584415584416,61.6580310880829,19.25925925925926,53.64860372340425,49.60317460317461,56.8,43.75,48.4,64.64622296537796,39.47276445915702,38.51576664076664,49.65,53.878152566499445,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v8.5,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.5,58.59385134258659,64.29439333449054,87.6,64.1711229946524,68.0,62.8,71.6,48.4,77.2,61.6,60.0,91.60000000000001,73.2,70.8,50.8,70.54794520547945,78.0,81.6,61.6,73.59550561797754,74.0,84.39999999999999,24.0,25.2,30.8,56.8,38.00335570469799,36.868686868686865,39.92673992673993,36.160714285714285,63.242973089181156,36.5558912386707,66.12377850162866,28.455284552845526,15.909090909090908,14.285714285714285,34.41558441558442,55.44041450777202,18.51851851851852,52.90059840425532,47.61904761904761,56.39999999999999,37.890625,48.8,64.51310724242121,33.30691224159348,37.652047027047026,47.696875,50.436043231723886,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v8.6,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.6,58.918147619665326,64.39854191980558,88.0,62.03208556149733,70.0,60.4,69.6,49.2,70.8,59.599999999999994,61.6,89.60000000000001,75.2,72.0,51.2,67.12328767123287,79.2,81.6,64.0,76.96629213483146,77.60000000000001,88.4,23.599999999999998,23.599999999999998,31.6,56.8,38.422818791946305,37.37373737373738,39.743589743589745,37.276785714285715,62.328732208318385,40.70996978851964,67.10097719869707,36.58536585365854,21.96969696969697,17.857142857142858,39.61038961038961,61.13989637305699,22.22222222222222,53.99767287234043,49.47089947089947,57.599999999999994,41.796875,49.2,64.57173605698173,38.06938444069489,38.13137094387094,49.53229166666667,51.5547725086383,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v8.7,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.7,59.13866908807886,64.84985245617081,88.0,61.49732620320856,67.60000000000001,63.2,72.8,48.8,71.2,61.6,63.6,91.2,74.0,72.39999999999999,48.8,65.06849315068493,82.39999999999999,81.2,62.4,76.96629213483146,78.0,87.6,24.8,25.2,32.0,58.8,38.00335570469799,37.37373737373738,38.46153846153847,37.723214285714285,75.02570956174064,42.37160120845921,63.19218241042345,43.90243902439025,25.757575757575758,20.357142857142858,46.75324675324675,61.6580310880829,22.962962962962962,53.981050531914896,48.94179894179894,56.39999999999999,42.578125,48.0,64.96383797869687,40.65479726483212,37.85283004033004,48.992708333333326,53.86222806746375,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v8.9,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.9,59.047866130496814,64.72834577330325,87.2,60.962566844919785,67.2,65.2,74.8,47.599999999999994,70.8,62.0,62.0,91.2,72.0,72.8,48.8,67.12328767123287,84.39999999999999,82.39999999999999,61.199999999999996,77.52808988764045,77.60000000000001,83.2,24.8,25.6,34.0,56.8,37.919463087248324,36.868686868686865,39.010989010989015,37.05357142857143,74.9220401867046,41.46525679758308,64.49511400651465,37.39837398373984,25.0,18.21428571428571,44.8051948051948,61.6580310880829,24.444444444444443,53.8563829787234,49.074074074074076,57.599999999999994,42.96875,46.800000000000004,64.88391435015804,39.4307777203232,37.64441576941577,49.12291666666667,53.660927149606124,
Lunzima_NQLSG-Qwen2.5-14B-MegaFusion-v9-stock,Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9-stock,59.6445712803217,65.54417635827113,87.6,63.101604278074866,67.60000000000001,64.8,73.2,49.2,70.39999999999999,61.6,62.8,91.60000000000001,75.2,72.0,50.8,68.4931506849315,82.8,83.2,61.6,76.96629213483146,77.60000000000001,91.2,25.2,24.8,34.4,60.8,38.422818791946305,39.39393939393939,38.82783882783883,37.5,67.89036423356694,41.842900302114806,66.77524429967427,37.39837398373984,25.757575757575758,17.857142857142858,44.8051948051948,62.69430051813472,21.48148148148148,54.12234042553191,48.148148148148145,55.60000000000001,42.1875,46.800000000000004,65.70671029574324,39.53847338613482,38.573926073926074,48.19583333333333,52.66179137659654,
