C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,p,regime,cost_form,N_noQ,D_noQ,L_noQ,gain_vs_noQ,tpp_noQ,check_L,check_absdiff_L,check_reldiff_N
1e+19,2048,exp,439519343.40754414,1696910911.4115393,0.9841870059772586,2.9034459125471614,3.86083328723505,4.4749510176281825e+18,5.219558992901733e+18,3.054899894700839e+17,0.44749510176281826,0.5219558992901734,0.03054899894700839,False,False,False,p*,R1 质量内点(Q0<Q*<1),指数型 γe^{λQ},221207724.89147624,7052917166.997083,2.9589429828909948,0.05549707034383333,31.88368385623612,2.903445912547133,2.842170943040401e-14,3.6404518821697707e-07
1e+19,2048,power,479683123.78415316,1428079110.4680316,1.0,2.922028704387492,2.9771301921195708,4.1101526923212006e+18,5.609260883883005e+18,2.8058642379579402e+17,0.41101526923212006,0.5609260883883005,0.0280586423795794,False,True,False,p*,R2 质量饱和(Q*=1),幂函数型 γQ^λ,221207724.89147624,7052917166.997083,2.9589429828909948,0.03691427850350282,31.88368385623612,2.922028704387473,1.9095836023552692e-14,1.3568108137018697e-07
1e+19,2048,log,271395642.77613866,4122316672.0715513,1.0,2.7578647897078783,15.189325185562591,6.712672697661909e+18,2.8290755128443715e+18,4.582517894937197e+17,0.6712672697661909,0.2829075512844371,0.04582517894937197,False,True,False,p*,R2 质量饱和(Q*=1),对数渐进型 γln(1+λQ),221207724.89147624,7052917166.997083,2.9589429828909948,0.20107819318311648,31.88368385623612,2.757864789707871,7.105427357601002e-15,3.212374610761515e-08
1e+19,2048,filter,311659296.691868,3441856220.8439565,0.8616864474444703,2.8945254934778544,11.043650092834735,6.436118934616548e+18,3.1245086794469606e+18,4.393723859364898e+17,0.6436118934616548,0.31245086794469606,0.04393723859364898,False,False,False,p*,R1 质量内点(Q0<Q*<1),改进型(过滤产出率) γ_f/(1-Q),221207724.89147624,7052917166.997083,2.9589429828909948,0.0644174894131404,31.88368385623612,2.8945254934778326,2.1760371282653068e-14,5.491714238914369e-08
1e+22,2048,exp,4732522368.410889,296079948121.0716,1.0,2.0374914578481724,62.56282064240742,8.407229863925441e+21,1.0188365773639161e+21,5.7393355871064346e+20,0.8407229863925441,0.1018836577363916,0.057393355871064346,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},5009488775.369459,311440913498.0836,2.1233258400735577,0.08583438222538531,62.17019888922982,2.0374914578481684,3.9968028886505635e-15,3.299683082325089e-07
1e+22,2048,power,4802476638.56319,288103150585.9846,1.0,2.038302916115465,59.99053660616652,8.301651901113864e+21,1.1316219957700968e+21,5.6672610311603985e+20,0.8301651901113865,0.11316219957700968,0.056672610311603984,False,True,False,p*,R2 质量饱和(Q*=1),幂函数型 γQ^λ,5009488775.369459,311440913498.0836,2.1233258400735577,0.08502292395809263,62.17019888922982,2.0383029161154225,4.263256414560601e-14,1.047735178616449e-07
1e+22,2048,log,4298483175.697906,354134726983.51324,1.0,2.0325555372911617,82.38597489125117,9.133452995214016e+21,2.430366136460403e+20,6.235103911399436e+20,0.9133452995214015,0.02430366136460403,0.06235103911399436,False,True,False,p*,R2 质量饱和(Q*=1),对数渐进型 γln(1+λQ),5009488775.369459,311440913498.0836,2.1233258400735577,0.09077030278239606,62.17019888922982,2.032555537291161,8.881784197001252e-16,5.627519966688865e-07
1e+22,2048,filter,5155276674.575496,257801029603.33945,0.9656163996280809,2.0512411699777555,50.0072151073381,7.974213807573856e+21,1.481413196495769e+21,5.4437299593037526e+20,0.7974213807573856,0.1481413196495769,0.05443729959303752,False,False,False,p*,R1 质量内点(Q0<Q*<1),改进型(过滤产出率) γ_f/(1-Q),5009488775.369459,311440913498.0836,2.1233258400735577,0.07208467009580222,62.17019888922982,2.0512411699777418,1.3766765505351941e-14,3.535847006297388e-07
1e+24,2048,exp,34050710693.405,4510752072809.3,1.0,1.8564097072764354,132.47159841756107,9.215658830454384e+23,1.5521886005326365e+22,6.291223094923526e+22,0.9215658830454384,0.015521886005326366,0.06291223094923526,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},40097988536.5434,3890867889638.916,1.9010257729167794,0.04461606564034404,97.03399176976082,1.8564097072764294,5.995204332975845e-15,9.029439035357356e-07
1e+24,2048,power,34135758452.077106,4489853957041.229,1.0,1.8564673160742717,131.52934519807127,9.195874209759717e+23,1.7635411085401816e+22,6.277716793862634e+22,0.9195874209759717,0.017635411085401818,0.06277716793862634,False,True,False,p*,R2 质量饱和(Q*=1),幂函数型 γQ^λ,40097988536.5434,3890867889638.916,1.9010257729167794,0.0445584568425077,97.03399176976082,1.8564673160742646,7.105427357601002e-15,4.673223743534294e-07
