index,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds,loss_arxiv,loss_freelaw,loss_pubmed_central,loss_wikipedia_en,loss_dm_mathematics,loss_github,loss_stackexchange,loss_gutenberg_pg_19,loss_pile_cc,loss_ubuntu_irc,loss_hackernews,loss_pubmed_abstracts,loss_uspto_backgrounds,raw_sum,L_avg
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.209,0.787,0.0,0.0,0.0,0.0,0.0,2.0364,1.5538,1.8945,1.6347,1.6872,1.9226,1.7704,1.37,1.4984,2.094,1.5093,1.708,1.5703,1.0,1.7115076923076924
2,0.025050100200400802,0.002004008016032064,0.050100200400801605,0.0,0.047094188376753505,0.0,0.3046092184368737,0.009018036072144287,0.003006012024048096,0.001002004008016032,0.1032064128256513,0.29959919839679355,0.02404809619238477,0.04008016032064128,0.09018036072144288,0.001002004008016032,0.0,1.5864,1.8299,1.9445,1.8164,1.545,1.3866,1.6481,1.6586,1.7889,1.767,1.6073,1.8927,1.8695,0.998,1.718530769230769
3,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0,1.213,1.8841,1.5353,1.9293,1.3259,2.127,1.9768,1.8085,1.7906,2.431,1.7869,1.8295,1.7909,1.0,1.8022153846153846
4,0.007992007992007994,0.02497502497502498,0.0,0.006993006993006994,0.014985014985014986,0.0,0.31468531468531474,0.0,0.2157842157842158,0.0,0.10889110889110891,0.005994005994005995,0.0,0.008991008991008992,0.0,0.05394605394605395,0.23676323676323677,1.6841,1.7367,1.8507,2.0186,1.8257,1.4301,1.5351,1.7557,2.0084,2.5813,1.9128,1.8155,1.5421,1.001,1.8228307692307695
5,0.19280719280719283,0.0029970029970029974,0.0,0.059940059940059943,0.009990009990009992,0.06093906093906094,0.03096903096903097,0.0,0.41658341658341663,0.0,0.1278721278721279,0.02197802197802198,0.0,0.007992007992007994,0.0009990009990009992,0.0,0.06693306693306694,1.5624,2.1678,1.8174,2.2517,0.7776,1.7369,1.6455,1.9377,2.2307,2.7498,2.0637,2.1934,1.8639,1.001,1.9229615384615388
6,0.5065065065065065,0.005005005005005005,0.0,0.011011011011011011,0.13813813813813816,0.0,0.2102102102102102,0.0,0.0,0.002002002002002002,0.0,0.0,0.026026026026026026,0.0990990990990991,0.0,0.001001001001001001,0.001001001001001001,1.1882,1.7042,1.6125,1.6679,1.6803,1.3326,1.5894,1.852,1.829,1.6405,1.7962,1.8661,1.7512,0.999,1.654623076923077
7,0.0,0.0,0.009,0.319,0.016,0.004,0.0,0.001,0.028,0.019,0.004,0.185,0.008,0.0,0.004,0.001,0.402,2.1039,2.2486,1.6181,2.1823,1.1519,2.2485,2.0108,2.1146,2.1248,2.3015,2.0232,1.9877,1.6685,1.0,1.9834153846153848
8,0.0,0.5675675675675675,0.014014014014014014,0.0,0.0,0.0,0.0,0.022022022022022022,0.0,0.0,0.003003003003003003,0.3933933933933934,0.0,0.0,0.0,0.0,0.0,2.1141,1.1729,1.9352,1.7047,1.7029,1.9577,1.8435,1.5258,1.568,2.1604,1.5733,1.7125,1.6233,0.999,1.7380230769230767
9,0.0,0.0,0.0,0.828,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,1.5099,1.742,1.0114,1.6294,1.4993,2.0438,1.8349,1.7567,1.6738,2.214,1.7046,1.2101,1.4524,1.0,1.6371
10,0.006,0.0,0.0,0.307,0.59,0.0,0.005,0.0,0.036,0.0,0.014,0.042,0.0,0.0,0.0,0.0,0.0,1.6872,1.9667,1.4361,1.6512,1.8667,1.8169,1.7326,1.7984,1.8932,2.6158,1.9118,1.798,1.8692,1.0,1.8495230769230768
11,0.0,0.924,0.0,0.0,0.003,0.0,0.004,0.0,0.001,0.0,0.019,0.0,0.0,0.0,0.0,0.049,0.0,2.1503,1.0885,1.7411,1.7098,1.7134,1.6952,1.7847,1.4694,1.7082,2.2971,1.6728,1.5099,1.6156,1.0,1.7043076923076923
