N_B,tokens_per_param,Q,dQ,dL_gain,gain_over_Nterm,N_equiv_multiplier,extra_params_B,substitutable_by_N,gain_over_Dterm,D_equiv_multiplier,substitutable_by_D
1.0,100,0.9,0.1,0.04645679371850253,0.15938810367558612,1.6663856699254178,0.6663856699254178,True,0.1538212658453079,1.8155461314039805,True
1.0,100,0.5,0.3,0.13937038115550715,0.3438528402871615,3.4532336556204157,2.4532336556204157,True,0.37265307310471296,5.284798961052492,True
1.0,100,0.5,0.5,0.23228396859251177,0.5730880671452688,12.224438269189683,11.224438269189683,True,0.6210884551745212,31.981074617169583,True
1.0,100,0.6805,0.3,0.1393703811555076,0.39376022820482903,4.357871316785635,3.3578713167856353,True,0.40809220919207606,6.504300723157819,True
1.0,1000,0.5,0.1,0.0379047331899538,0.0935180779418973,1.334790040221294,0.334790040221294,True,0.1931474009890711,2.1518158440853394,True
1.0,1000,0.6805,0.1,0.03790473318995424,0.10709145133402488,1.3953521738191161,0.39535217381911614,True,0.21151563010776528,2.3362297908509566,True
1.0,1000,0.8,0.1,0.0379047331899538,0.11847739562024218,1.4490267073495091,0.4490267073495091,True,0.22572935101925692,2.4930140224908124,True
1.0,1000,0.9,0.1,0.03790473318995424,0.1300469330725607,1.5064391523454395,0.5064391523454395,True,0.2391783124234863,2.653976301603609,True
1.0,1000,0.5,0.3,0.11371419956986228,0.2805542338256941,2.633840842361826,1.6338408423618258,True,0.5794422029672178,22.03870511790517,True
1.0,1000,0.5,0.5,0.18952366594977033,0.4675903897094898,6.384850261049976,5.384850261049976,True,0.9657370049453623,170460.2488217005,True
1.0,1000,0.6805,0.3,0.11371419956986273,0.32127435400207466,3.126163539335473,2.126163539335473,True,0.6345468903232958,36.389348456198576,True
7.0,5,0.5,0.1,0.03883188199443843,0.18566366268136628,1.8295276271191825,5.806693389834278,True,0.07738090513284686,1.3331915780565633,True
7.0,5,0.6805,0.1,0.03883188199443843,0.21261120346048387,2.019866143278883,7.139063002952181,True,0.08473979366882203,1.3718630819345066,True
7.0,5,0.8,0.1,0.03883188199443843,0.23521598924937387,2.2005404237377064,8.403782966163945,True,0.09043425594895038,1.4027780337019158,True
7.0,5,0.9,0.1,0.03883188199443843,0.25818526691418003,2.407021433275259,9.849150032926813,True,0.09582233159080002,1.4328554108764306,True
7.0,5,0.5,0.3,0.11649564598331574,0.556990988044101,10.963573996944543,69.7450179786118,True,0.23214271539854145,2.568165036245749,True
7.0,5,0.5,0.5,0.1941594099721926,0.9283183134068335,2324.9366803078774,16267.556762155142,True,0.38690452566423517,5.736702666680172,True
7.0,5,0.6805,0.3,0.11649564598331574,0.637833610381454,19.829665436684518,131.80765805679164,True,0.25421938100646707,2.8501056172635675,True
7.0,20,0.5,0.1,0.031063183869108446,0.14851982946665865,1.6046002342533197,4.232201639773238,True,0.09126515178382616,1.4073632068611193,True
7.0,20,0.6805,0.1,0.031063183869108446,0.1700762509185449,1.730296249766223,5.112073748363562,True,0.09994442579907602,1.4564250592160624,True
7.0,20,0.8,0.1,0.031063183869108446,0.18815872802801556,1.8461143685522448,5.922800579865713,True,0.10666063005425964,1.495901274338191,True
7.0,20,0.9,0.1,0.031063183869108446,0.20653277684554824,1.9746942793094215,6.822859955165951,True,0.11301547354480712,1.5345232679457748,True
