配方域,对应质量域,质量域实际Q,方法A预测Q,偏差
arxiv,arxiv,0.7568790621871924,0.6798620322647011,-0.07701702992249126
github,github,0.41071380255007073,0.33599872739736814,-0.07471507515270259
stackexchange,stackexchange,0.6160563529701564,0.5932825229209977,-0.022773830049158672
wikipedia_en,wikipedia,0.36300221452585957,0.43310541566157945,0.07010320113571988
gutenberg_pg_19,book,0.3659941002833515,0.640833782367127,0.27483968208377546
pile_cc,commoncrawl,0.596662840483352,0.5019620608131914,-0.09470077967016066
