term,coef,odds_ratio,OR_low95,OR_high95,p_value
const,-3.132347620775519,0.043615284820899415,0.04257245817340389,0.044683655857029894,0.0
log_words_std,0.9860811682195885,2.680708615172965,2.6240122312443184,2.73863002386038,0.0
nonalpha_std,0.17336396394889858,1.189298888240306,1.1707834403995883,1.2081071501035943,5.4368736629792954e-104
numeric_std,0.07922682434001377,1.0824498201928505,1.0695280473945463,1.0955277106475902,3.045476038425526e-38
wordlen_std,-0.8978871856272366,0.4074295740610093,0.3937099135268146,0.42162732538922904,0.0
dom_arxiv,-1.3745368556808937,0.25295672414875847,0.23756009488755203,0.2693512322528709,0.0
dom_c4,2.0988607226791,8.156871678027235,7.687691167522438,8.65468631894137,0.0
dom_stackexchange,0.23544550523390412,1.2654724177547456,1.182876811988415,1.3538353477451763,8.0917534807789e-12
dom_wikipedia,-0.36266962057713,0.6958162789095571,0.642602690095256,0.753436456862285,4.0905705075918995e-19
dom_commoncrawl,0.1308058804621909,1.1397465127701332,1.0658112801707866,1.2188106258018987,0.0001320955213772221
dom_book,-2.3467717344749537,0.09567753668359921,0.06604688068068974,0.1386014135943577,2.2903007983727862e-35
