model,k,RSS,AIC,BIC,R2_1m,sp_60m,sp_1B
linear,17,37.94378526357323,154.6569833628089,226.70850198848052,0.3272781549286664,0.5584086747539482,0.3684523809523809
quad,170,13.60345473004199,-64.5433722260808,655.9718140306355,0.6255921368845716,0.7886780441748683,0.5173534798534798
log,18,7.768110158405278,-655.4153711055594,-579.1255278548483,0.8513838353128906,0.9116409647516591,0.7547619047619046
quadQ,188,15.884480757764777,50.826250739390275,847.6312802468177,0.6455161211526168,0.7976524948500799,0.4532509157509157
