形式,参数个数k,R2,adj_R2,RMSE,MAE,MAPE,RSS,AIC,BIC
F6_Q调制+加性,8,0.9722147847781448,0.9717107445927143,0.05678089733790304,0.043878043020757374,0.01671423195146823,1.4508316361238682,-2565.6997918654683,-2532.8258112033536
F4_整体乘Q,6,0.9664906921227132,0.966036841451689,0.062355978397410264,0.0494772433696579,0.018902189432543296,1.749720618854233,-2485.406154274256,-2460.75066877767
"F2_Q调制N,D",7,0.9667513157013604,0.9662247528278526,0.062113013647528775,0.04934253686695396,0.018848843874675978,1.736111908970143,-2486.91977721014,-2458.1550441307895
F5_有效token数,6,0.9582432397859224,0.9576776854715106,0.06960793768891196,0.0534630131216999,0.020363353544393312,2.180369245186553,-2386.3890038011573,-2361.733518304571
F1_Q调制D,6,0.9582432395446395,0.9576776852269597,0.06960793789001955,0.05346301257015248,0.020363353314404007,2.180369257785369,-2386.3890012009247,-2361.7335157043385
F3_独立加性Q,6,0.9402481009411164,0.9394388201412218,0.08326667550840922,0.06529562717398169,0.02495449942148286,3.120002662600222,-2225.136177395624,-2200.480691899038
F0_经典(无Q),5,0.8794397984114136,0.8780821384836142,0.1182761969540118,0.09669892501249386,0.03666330349111192,6.295166444656886,-1911.2594636807269,-1890.713225766905
