R2,RMSE,MAE,MAPE,数据集,形式
0.9999998165821044,0.0001464960899279777,0.0001052318957037663,4.092866075973841e-05,B1_pythia,加性(直接预测)
0.9298325100613858,0.09060937827895806,0.0417171838891849,0.014934192232493202,B1_pythia,乘积(直接预测)
0.9999998165821044,0.0001464960899270557,0.00010523190205873349,4.092866196590125e-05,B1_pythia,加性(族内标定)
-5.072798812940476,1.243084866134205,1.1784418119131512,0.3360082540598286,B2_cerebras,加性(直接预测)
-5.3933797525789275,1.2754739206130634,1.2172818045436005,0.3472623466220468,B2_cerebras,乘积(直接预测)
0.9995402604795782,0.01081588974868324,0.008321040111680254,0.0024067964086635484,B2_cerebras,加性(族内标定)
0.9999577401654006,0.003821280818057918,0.002892950548097932,0.0009169157156903171,B3_traj,加性(直接预测)
0.8095948439809864,0.256498252162987,0.1594658197670588,0.047859957207345774,B3_traj,乘积(直接预测)
0.9999819141899388,0.002499850520031416,0.001970903519670383,0.0006609843771433776,B3_traj,加性(族内标定)
0.604504885711399,0.292666677375603,0.22726329271327533,0.08594374230617328,B4_baseline,加性(直接预测)
0.6205942135323101,0.28665181156792213,0.22988805587016123,0.08798785183220784,B4_baseline,乘积(直接预测)
0.9507938074559208,0.10323158524183436,0.07093020789634256,0.02832665633902897,B4_baseline,加性(族内标定)
0.7305591116336401,0.19759507451050223,0.17072153174121618,0.08143185845544876,B5_published,加性(直接预测)
0.7420313794394242,0.19334271127014468,0.17173582805628654,0.08115106513026968,B5_published,乘积(直接预测)
0.8318810058579404,0.15608197623926398,0.13864310142440928,0.06551973880634891,B5_published,加性(族内标定)
