Q,log10C,N_opt_B,D_opt_B,D/N,L_min,T_opt_1e21FLOPs
0.3,21,2.7296629637718883,61.05759900715516,22.36818237911133,2.5266731776807427,1.0
0.3,22,8.007111367521722,208.14830594550807,25.995430360790895,2.280162061265447,10.0
0.3,23,23.48782003595865,709.5876348316214,30.210876690356066,2.093607959942795,99.99999999999999
0.3,24,68.89846596605165,2419.0185417014704,35.10990423057306,1.9524279844974517,999.9999999999999
0.5,21,2.7296629637718883,61.05759900715516,22.36818237911133,2.4672056263651942,1.0
0.5,22,8.007111367521722,208.14830594550807,25.995430360790895,2.235158345441749,10.0
0.5,23,23.48782003595865,709.5876348316214,30.210876690356066,2.0595501514319134,99.99999999999999
0.5,24,68.89846596605165,2419.0185417014704,35.10990423057306,1.9266537940614028,999.9999999999999
0.6,21,2.7296629637718883,61.05759900715516,22.36818237911133,2.4468365490791113,1.0
0.6,22,8.007111367521722,208.14830594550807,25.995430360790895,2.219743482285375,10.0
0.6,23,23.48782003595865,709.5876348316214,30.210876690356066,2.0478845267608774,99.99999999999999
0.6,24,68.89846596605165,2419.0185417014704,35.10990423057306,1.9178255093016627,999.9999999999999
0.8,21,2.7296629637718883,61.05759900715516,22.36818237911133,2.4155773428553147,1.0
0.8,22,8.007111367521722,208.14830594550807,25.995430360790895,2.1960872125609763,10.0
0.8,23,23.48782003595865,709.5876348316214,30.210876690356066,2.0299819893901505,99.99999999999999
0.8,24,68.89846596605165,2419.0185417014704,35.10990423057306,1.9042772680126154,999.9999999999999
1.0,21,2.7296629637718883,61.05759900715516,22.36818237911133,2.392053345792609,1.0
1.0,22,8.007111367521722,208.14830594550807,25.995430360790895,2.1782847765193445,10.0
1.0,23,23.48782003595865,709.5876348316214,30.210876690356066,2.0165095028046354,99.99999999999999
1.0,24,68.89846596605165,2419.0185417014704,35.10990423057306,1.8940815904254553,999.9999999999999
