held_out_N_B,B_family,B_ratio_vs_B1,implied_data_efficiency,n,RMSE,MAE,MAPE_pct,bias,R2,spearman
0.111,2844.682582425206,6.917487304192199,0.0010019359931393934,147,0.012073681921558057,0.009269634970595938,0.24072979695379448,-0.0010012580552401572,0.9993167385368401,0.9973233092669779
0.256,2844.809921460629,6.917796957777562,0.0010017758640109263,147,0.011455881826872374,0.009254271537545423,0.25632670556800025,-0.0005583521612233416,0.9993845911891532,0.9973176474145438
0.59,2844.2014417955893,6.916317302232238,0.0010025413244418105,147,0.011009598419532916,0.00832654554003308,0.23494820339074338,-0.0024678216082770544,0.9994341406210485,0.9982866913047646
1.3,2844.7020761457266,6.917534707570363,0.0010019114776173876,147,0.011389111754969154,0.0085727408604299,0.2531414706418478,-5.520957403311709e-05,0.9993987612139906,0.9979173968404175
2.7,2844.9962914998164,6.918250158562748,0.0010015415623135884,147,0.010640235049276924,0.008279740046970187,0.2497233640247141,0.0002356953860145218,0.9994697533407413,0.997671829101934
6.7,2844.876991936455,6.917960054766969,0.0010016915359052664,147,0.009075459115378381,0.007280252693058726,0.22585990172011125,0.0003853846208956659,0.9996171186075243,0.998265915785996
13.0,2845.456966134811,6.919370392840775,0.0010009627097959054,147,0.010336776140009314,0.0073996870144013285,0.2279507618217104,0.0017075298456637228,0.9994979859396528,0.9985029785876568
